TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABM;45,47;1,87;15,42;1,70;0,61;100,00;4,21;2,47;6,69;12,95;3,92;0,74;0,38;5,18;-0,93;1,53;10,99;3,97;8,34;0,36;0,64;1,61;7,44;127,27;;26,95;2,96;;3.022.872.200,00
ABMD;381,02;;64,40;11,16;10,13;81,32;31,76;24,84;46,32;47,95;-2,40;-0,53;16,00;18,50;-27,11;7,93;17,32;15,72;17,32;0,91;0,09;0,63;18,30;21,24;;34,15;5,92;;17.180.649.024,00
ABNB;125,20;;34,86;15,85;3,78;82,33;26,80;25,31;32,30;33,24;0,33;0,16;8,82;12,47;-70,58;1,47;45,46;10,86;14,30;0,24;0,76;0,43;26,81;;;7,93;3,60;;80.175.204.340,00
ABST;11,49;1,56;57,33;-14,16;4,68;87,94;14,58;10,16;22,38;36,85;-3,08;;5,82;-36,16;-13,87;0,84;-24,69;8,17;-24,75;-0,33;1,33;0,80;16,69;;;-0,81;0,20;;609.650.208,00
ABT;101,97;1,96;34,38;4,77;2,42;55,16;17,11;12,83;17,55;27,04;1,26;0,23;4,41;19,38;-3,56;1,64;13,88;7,04;10,68;0,51;0,49;0,55;9,77;70,80;;21,42;2,97;;177.457.709.080,00
ABTX;41,63;0,34;10,98;1,18;0,12;0,00;38,18;28,90;7,09;-11,75;-20,06;-2,84;3,17;;-0,12;;10,73;1,12;11,72;0,10;0,90;0,04;19,36;28,98;;35,34;3,79;;830.943.126,00
ABUS;2,01;;-4,64;2,51;1,91;100,00;-305,18;-309,89;-4,72;-2,59;2,12;-1,13;14,38;2,52;-18,78;6,47;-54,15;-41,25;-53,32;0,76;0,24;0,13;29,53;;;0,80;-0,44;;338.464.534,00
AC;37,29;0,54;-54,04;0,89;0,86;100,00;-149,89;-100,92;-36,95;-18,53;17,85;-0,44;54,54;;-0,86;;-1,65;-1,59;-3,39;0,96;0,03;0,02;-10,87;;;41,77;-0,69;;808.779.081,00
ACA;77,01;0,26;13,27;1,65;1,08;19,50;17,30;12,65;6,93;10,61;0,90;0,15;1,68;6,78;-1,49;2,32;12,44;8,10;11,10;0,65;0,35;0,64;8,93;22,34;;46,70;5,81;;3.758.071.926,00
ACAC;10,97;;109,32;-21,97;1,64;;;;66,14;65,76;-0,38;;;-148,31;-1,66;0,51;-20,10;1,50;-20,06;-0,07;0,09;0,00;;;;-0,50;0,10;;63.624.903,00
ACACU;11,00;;109,62;-22,03;1,64;;;;66,32;65,76;-0,38;;;-148,72;-1,66;0,51;-20,10;1,50;-20,06;-0,07;0,09;0,00;;;;-0,50;0,10;;63.624.903,00
ACACW;0,06;;0,60;-0,12;0,01;;;;0,36;65,76;-0,38;;;-0,81;-0,01;0,51;-20,10;1,50;-20,06;-0,07;0,09;0,00;;;;-0,50;0,10;;63.624.903,00
ACAD;28,07;;-41,70;11,67;7,19;97,52;-19,22;-20,12;-42,10;-40,09;3,54;-0,95;8,39;15,16;-30,77;2,62;-28,00;-17,24;-28,00;0,62;0,38;0,86;32,87;;;2,42;-0,68;;4.620.429.558,00
ACAM;0,00;;;;;;;;;-0,30;-0,30;-0,09;;;;7,38;16,42;0,26;16,40;0,02;0,03;0,00;;;;;;;0,00
ACAMU;0,00;;;;;;;;;-0,30;-0,30;-0,09;;;;7,38;16,42;0,26;16,40;0,02;0,03;0,00;;;;;;;0,00
ACAMW;0,00;;;;;;;;;-0,30;-0,30;-0,09;;;;7,38;16,42;0,26;16,40;0,02;0,03;0,00;;;;;;;0,00
ACB;0,43;;-0,12;0,32;0,19;9,59;-104,57;-776,01;;0,19;1,10;-0,38;0,95;0,35;-0,62;5,13;-259,32;-158,40;-25,99;0,61;0,39;0,20;24,35;;;1,39;-3,60;;165.807.972,00
ACBI;32,34;;13,56;1,80;0,16;0,00;53,98;40,56;8,69;-17,34;-27,53;-4,88;5,50;;-0,16;;13,31;1,15;14,52;0,09;0,91;0,03;13,36;;;17,92;2,39;;656.653.998,00
ACCD;13,07;;-6,34;2,17;1,12;44,59;-41,93;-41,86;-9,37;-6,20;0,13;-0,04;2,65;4,17;-1,87;3,09;-34,18;-17,73;-21,15;0,52;0,48;0,42;;;;6,01;-2,05;;983.959.310,00
ACCO;4,89;6,07;-17,24;0,56;0,17;30,10;3,05;-1,45;3,41;25,55;17,37;1,20;0,25;1,12;-0,25;1,79;-3,28;-0,96;1,43;0,29;0,71;0,67;-0,01;;;8,75;-0,29;;468.891.956,00
ACEL;11,53;;18,02;5,25;1,15;29,94;9,39;4,86;5,97;11,97;2,63;1,48;0,88;5,27;-1,70;3,03;29,15;6,37;11,80;0,22;0,78;1,31;31,31;54,89;;2,20;0,64;;991.430.964,00
ACER;0,63;;-0,46;-0,59;0,98;;;;-0,47;-1,12;-0,66;;;-0,51;-1,91;0,20;-127,67;-212,73;-1.427,79;-1,67;2,67;0,00;;;;-1,07;-1,36;;15.412.131,00
ACET;1,63;;-0,61;0,29;0,25;;;;-0,64;1,18;1,79;-0,86;;0,37;-1,02;11,08;-48,17;-41,48;-48,14;0,86;0,14;0,00;;;;5,55;-2,67;;70.197.906,00
ACEV;9,78;;-24,18;-1,71;2,06;;;;-24,18;-30,41;-6,23;;;-4,44;-2,06;0,00;-7,08;-8,52;12,68;-1,20;1,20;0,00;;;;-5,71;-0,40;;83.063.496,00
ACEVU;9,60;;-23,74;-1,68;2,02;;;;-23,74;-30,41;-6,23;;;-4,36;-2,02;0,00;-7,08;-8,52;12,68;-1,20;1,20;0,00;;;;-5,71;-0,40;;83.063.496,00
ACEVW;0,16;;-0,40;-0,03;0,03;;;;-0,40;-30,41;-6,23;;;-0,07;-0,03;0,00;-7,08;-8,52;12,68;-1,20;1,20;0,00;;;;-5,71;-0,40;;83.063.496,00
ACGL;73,99;;12,46;1,89;0,51;32,75;20,93;18,85;10,79;12,27;1,05;0,18;2,35;;-0,51;;15,18;4,13;11,55;0,27;0,73;0,22;11,31;21,12;;39,26;5,96;;27.688.127.232,00
ACGLO;21,33;6,39;3,58;0,54;0,15;32,75;20,93;18,85;3,10;12,27;1,05;0,18;0,67;;-0,15;;15,18;4,13;11,55;0,27;0,73;0,22;11,31;21,12;;39,26;5,96;;27.688.127.232,00
ACGLP;24,99;;4,19;0,64;0,17;32,75;20,93;18,85;3,63;12,27;1,05;0,18;0,79;;-0,17;;15,18;4,13;11,55;0,27;0,73;0,22;11,31;21,12;;39,26;5,96;;27.688.127.232,00
ACH;9,04;;10,73;0,52;0,20;11,12;7,84;2,57;;8,47;4,95;0,74;0,28;9,95;-0,28;1,08;4,88;1,86;7,76;0,38;0,62;0,73;27,84;;;17,28;0,84;;6.195.995.208,00
ACHC;75,86;;25,78;2,39;1,35;96,27;16,04;9,74;12,19;18,53;2,88;0,44;2,51;47,68;-1,53;1,34;9,26;5,25;8,21;0,57;0,42;0,54;-1,65;6,45;;31,69;2,94;;6.973.718.388,00
ACHV;4,62;;-2,23;220,11;4,69;;;;-2,35;-2,33;0,00;-0,07;;-46,95;-37,88;0,90;-9.880,14;-210,45;-246,74;0,02;0,98;0,00;;;;0,02;-2,07;;97.508.796,00
ACI;22,19;33,02;8,22;6,39;0,50;27,89;2,87;1,86;2,55;8,74;3,41;4,09;0,15;-7,69;-0,65;0,78;77,76;6,02;19,52;0,08;0,92;3,24;5,32;100,85;;3,47;2,70;;12.780.082.680,00
ACIA;114,99;;71,00;7,39;5,88;48,37;11,97;12,55;63,46;67,54;-6,95;-0,69;8,91;9,83;-25,15;4,56;10,41;8,28;9,43;0,80;0,20;0,66;26,01;80,21;;15,56;1,62;;4.884.783.364,29
ACIC;7,20;;-1,80;3,79;0,22;-70,79;-90,41;-39,77;-0,85;-0,89;-0,10;0,48;0,72;;-0,22;;-210,58;-12,16;-163,28;0,06;0,94;0,31;;;;1,92;-4,05;;316.433.385,00
ACIC.U;10,10;;-2,49;5,25;0,30;-70,79;-90,41;-39,77;-1,18;-0,89;-0,10;0,48;0,99;;-0,30;;-210,58;-12,16;-163,28;0,06;0,94;0,31;;;;1,92;-4,05;;316.433.385,00
ACIC.WS;1,68;;-0,41;0,87;0,05;-70,79;-90,41;-39,77;-0,20;-0,89;-0,10;0,48;0,16;;-0,05;;-210,58;-12,16;-163,28;0,06;0,94;0,31;;;;1,92;-4,05;;316.433.385,00
ACIU;3,13;;-3,69;1,35;1,25;100,00;-931,75;-936,40;-3,83;-1,68;2,03;-0,74;34,51;1,92;-4,43;10,85;-36,64;-33,88;-36,46;0,92;0,08;0,04;-27,19;;;2,36;-0,86;;265.629.534,00
ACIW;23,47;;34,47;2,18;0,83;48,20;13,34;5,42;7,85;19,11;5,11;0,80;1,87;10,39;-1,26;1,32;6,34;2,42;6,42;0,38;0,62;0,45;6,78;94,29;;10,80;0,68;;2.561.765.486,00
ACKI;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACKIT;10,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACKIU;10,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACKIW;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACLS;171,48;;27,36;7,60;5,04;42,67;22,85;20,19;23,53;22,43;-1,74;-0,55;5,52;8,05;-32,94;3,82;27,76;18,41;26,85;0,66;0,34;0,91;17,51;7,60;;22,67;6,29;;5.651.501.675,00
ACM;87,77;0,78;90,02;4,97;1,07;6,52;3,31;0,97;19,13;28,43;2,05;0,39;0,87;21,90;-2,37;1,10;5,52;1,19;8,21;0,21;0,79;1,22;-6,30;-1,76;;17,69;0,98;;12.195.472.988,00
ACMR;15,32;;13,72;1,32;0,70;49,53;23,83;14,48;7,86;6,66;-1,68;-0,27;1,99;1,70;-2,86;2,18;9,65;5,07;11,18;0,53;0,47;0,35;60,50;;;11,53;1,11;;916.543.575,00
ACN;319,46;1,75;28,24;7,99;4,04;32,25;14,90;11,27;17,38;20,47;-0,90;-0,33;3,18;32,18;-7,56;1,37;28,28;14,29;28,88;0,51;0,48;1,27;11,23;14,83;;40,16;11,36;;202.314.976.569,00
ACNB;33,99;3,24;7,63;1,14;0,12;0,00;42,76;33,14;5,35;-7,35;-13,26;-2,55;2,53;;-0,12;;14,92;1,58;13,73;0,11;0,89;0,05;10,55;29,58;;29,87;4,46;;291.100.557,00
ACND;9,52;;-10.948,00;98,53;1,19;;;;;-1.828,87;2,58;-0,14;;862,80;-1,19;2,45;-0,90;-0,01;-5,38;0,01;0,99;0,00;;;;0,10;0,00;;492.660.000,00
ACND.U;10,32;;-11.868,00;106,81;1,29;;;;;-1.828,87;2,58;-0,14;;935,31;-1,29;2,45;-0,90;-0,01;-5,38;0,01;0,99;0,00;;;;0,10;0,00;;492.660.000,00
