TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
PABY11;24,01;;0,00;-19,70;;1.769,97;;;16,87;-14.943.407,94;667,00;Passiva;758.400,00
PATB11;0,00;7,150317;0,00;166,72;;;2,87;;;645.120.405,08;56,00;Ativa;3.869.378,00
PATC11;72,00;0,340000;5,57;73,28;0,98;783.328,19;3,12;3,00;-7,80;254.830.960,26;7.384,00;Ativa;3.477.434,00
PATL11;70,64;0,600000;9,97;98,50;0,72;592.194,84;1,08;2,12;-10,18;491.662.611,58;24.601,00;Ativa;4.991.535,00
PBLV11;926,98;39,645378;8,50;1.564,50;0,59;;2,14;;;5.820.001.715,34;2,00;Ativa;3.720.045,00
PCAS11;0,00;;0,00;6.431,14;;;0,60;;;450.179.572,34;50,00;Passiva;70.000,00
PEMA11;37,61;0,421000;19,91;72,74;0,52;1.005,77;0,74;;;40.150.282,36;383,00;Ativa;552.000,00
PLCR11;91,80;1,000000;13,34;93,02;0,99;633.301,55;12,63;10,38;4,20;196.200.010,00;15.919,00;Ativa;2.109.169,00
PLRI11;18,18;0,133083;8,69;29,50;0,62;6.805,30;1,52;-19,27;-24,08;28.147.285,60;730,00;Ativa;954.304,00
PNDL11;1.295,00;0,120000;0,46;1.037,72;1,25;1.587.486,50;25,44;;;118.184.924,47;57,00;Ativa;113.889,00
PNLN11;0,00;;0,00;52,36;;;6,83;;;860.313,01;51,00;Ativa;16.432,00
PNPR11;100,00;;0,00;104,15;0,96;784.100,00;0,21;;;90.692.807,04;24,00;Ativa;870.791,00
PNRC11;101,69;1,020000;4,49;102,49;0,99;71.183,00;2,29;;;42.030.591,73;60,00;Ativa;410.100,00
PORD11;89,99;1,030000;13,49;98,06;0,92;542.556,58;14,02;4,49;-3,19;365.594.845,54;25.705,00;Ativa;3.728.375,00
PQAG11;56,97;0,440000;9,23;57,11;1,00;19.873,63;0,03;-10,95;-56,24;799.051.682,53;483,00;Ativa;13.991.890,00
PQDP11;1.939,99;16,734576;10,50;3.120,41;0,62;152.485,13;2,03;26,47;-13,35;766.101.130,08;4.091,00;Passiva;245.513,00
PRSN11B;1,31;0,171678;13,11;3,90;0,34;1.413,07;12,01;;-30,13;12.589.105,18;762,00;Ativa;3.231.246,00
PRSV11;83,22;1,620000;0,00;211,36;0,39;3.317,96;6,99;28,92;-40,04;41.214.748,37;998,00;Passiva;195.000,00
PRTS11;117,70;0,054870;0,00;0,06;1.961,67;;103,36;;;3.111.607,44;11,00;Ativa;55.727.500,00
PRZS11;0,00;;0,00;146,36;;;0,06;;;103.573.997,23;20,00;Ativa;707.671,00
PVBI11;106,50;0,670000;6,88;101,03;1,05;3.421.932,35;3,68;5,62;2,44;1.226.742.660,75;113.597,00;Ativa;12.142.208,00
QAGR11;50,48;0,430000;10,12;57,66;0,88;522.785,74;1,45;2,13;-15,65;290.592.274,50;23.175,00;Ativa;5.040.000,00
QAMI11;76,00;0,700000;13,75;94,15;0,81;39.497,10;6,33;;;75.449.690,86;1.467,00;Ativa;801.398,00
QIRI11;78,04;0,660000;0,00;89,61;0,87;;100,31;;-9,42;13.441.852,95;173,00;Ativa;150.000,00
RBBV11;100,00;0,224057;0,00;100,84;0,99;;1,01;75,40;2,97;126.470.249,69;3.475,00;Passiva;1.254.164,00
RBCB11;19,00;0,300000;0,00;0,00;;;;-15,04;;0,00;462,00;Ativa;53.100,00
RBDS11;2,97;2,354143;0,00;22,49;0,13;711,74;24,55;18,99;-53,22;2.845.189,29;977,00;Ativa;126.523,00
RBED11;137,77;1,430000;11,16;144,35;0,95;676.254,97;8,71;7,86;-5,98;339.946.038,11;12.956,00;Ativa;2.355.022,00
RBFF11;60,77;0,500000;9,94;69,19;0,88;568.035,03;3,78;0,39;-5,95;259.410.163,47;19.786,00;Ativa;3.749.215,00
RBGS11;28,45;0,176600;0,00;90,78;0,31;;0,52;4,91;-9,87;97.865.283,71;2.808,00;Passiva;1.078.000,00
RBHG11;89,13;1,050000;14,48;91,73;0,97;267.517,48;6,44;18,90;2,64;158.472.293,13;9.587,00;Ativa;1.727.582,00
RBHY11;96,49;1,150000;15,06;93,63;1,03;91.929,29;3,34;;;177.285.227,09;3.662,00;Ativa;1.893.505,00
RBIR11;86,38;0,458000;2,07;103,69;0,83;51.185,00;0,58;;3,90;158.500.274,98;1.463,00;Ativa;1.528.615,00
RBLG11;100,51;0,950000;10,65;101,70;0,99;1.865,47;1,76;;;65.108.777,70;201,00;Ativa;640.199,00
RBOP11;294,00;2,400000;33,57;848,97;0,35;42.107,77;7,18;4,24;-38,63;86.309.331,29;3.769,00;Ativa;101.664,00
RBRD11;38,50;0,340000;9,87;66,19;0,58;32.332,58;3,21;-0,85;-16,49;122.563.749,52;9.156,00;Passiva;1.851.786,00
RBRF11;81,68;0,550000;9,16;88,53;0,92;3.260.524,94;2,31;-1,83;-5,34;1.211.192.224,53;102.679,00;Ativa;13.680.770,00
RBRI11;915,00;35,620000;0,00;1.193,85;0,77;48.495,00;0,20;;;162.915.520,16;87,00;;136.462,00
RBRL11;91,93;0,720000;8,40;105,32;0,87;698.727,90;1,46;-0,58;-6,85;704.246.906,97;12.507,00;Ativa;6.687.035,00
RBRM11;94.794,81;2.002,089652;13,77;27.526,49;3,44;;0,22;;;14.848.062,96;54,00;;539,00
RBRP11;58,03;0,250000;5,88;81,24;0,71;1.095.718,42;1,54;-15,34;-13,86;989.417.874,79;90.322,00;Ativa;12.179.186,00
RBRR11;89,48;0,650000;11,24;94,51;0,95;3.384.766,58;3,20;7,45;-3,74;1.270.081.176,60;138.639,00;Ativa;13.438.908,00
RBRS11;55,20;0,400000;9,09;94,23;0,59;52.853,68;3,24;;-19,29;163.419.300,39;1.237,00;Ativa;1.734.299,00
RBRU11;0,00;;0,00;;;;;;;;;;0,00
RBRX11;92,16;1,100000;16,47;96,70;0,95;894.669,26;1,33;;;181.866.175,50;4.323,00;Ativa;1.880.688,00
RBRY11;99,86;1,200000;13,87;98,84;1,01;1.332.600,74;5,14;14,83;-0,70;548.266.353,36;35.123,00;Ativa;5.546.804,00
RBTS11;1.111,00;21,930000;32,78;818,64;1,36;1.111,00;3,45;;;46.273.696,75;60,00;Ativa;56.525,00
