TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
TSER11;102,00;0,920000;11,10;100,31;1,02;1.217,33;6,57;;;128.881.470,16;32,00;Ativa;1.284.884,00
TSNC11;0,00;0,625958;0,00;92,41;;;7,78;-23,66;;100.426.822,13;66,00;Ativa;1.086.780,00
TSNM11;0,00;;0,00;;;;;;;;;;3.500.000,00
URPR11;94,13;1,160000;15,85;100,03;0,94;2.072.589,90;3,97;-16,67;-6,35;1.167.835.850,29;93.683,00;Ativa;11.675.248,00
VCJR11;91,11;0,550000;10,60;96,81;0,94;1.938.667,84;5,32;-0,95;-3,18;1.425.367.434,14;20.205,00;Ativa;14.723.970,00
VCRI11;8,35;0,085000;15,99;9,65;0,87;276.129,19;4,25;;;171.490.682,95;11.027,00;Ativa;17.773.297,00
VCRR11;76,97;0,690000;10,63;128,25;0,60;315.005,10;2,78;;;256.499.761,16;4.019,00;Ativa;2.000.000,00
VDSV11;0,00;;0,00;994,33;;;1,89;;;13.620.339,46;198,00;Ativa;13.698,00
VERE11;233,49;2,400000;14,28;363,29;0,64;;0,41;4,15;;207.411.507,75;53,00;Ativa;570.920,00
VGHF11;9,51;0,120000;13,25;9,42;1,01;3.299.737,23;3,86;;;686.848.266,32;274.002,00;Ativa;72.889.247,00
VGIP11;91,00;0,640000;10,68;93,63;0,97;2.003.835,74;3,36;-8,84;-2,90;1.103.693.956,74;86.916,00;Ativa;11.787.247,00
VGIR11;9,61;0,130000;15,50;9,64;1,00;4.686.479,87;2,78;34,67;4,30;995.247.970,32;204.689,00;Ativa;103.220.707,00
VIDS11;0,00;;0,00;979,41;;;9,89;;;81.713.923,88;1.688,00;Ativa;83.432,00
VIFI11;8,44;0,070000;9,24;9,42;0,90;181.268,58;10,09;1,72;-55,81;76.239.072,37;6.636,00;Ativa;8.089.190,00
VILG11;107,52;0,700000;7,61;111,91;0,96;2.643.054,81;2,30;6,99;-5,74;1.678.321.852,08;161.673,00;Ativa;14.997.396,00
VINO11;8,98;0,060000;8,53;54,37;0,17;1.018.036,03;3,75;-9,75;-8,78;900.631.675,97;123.487,00;Ativa;16.565.259,00
VISC11;123,66;0,920000;7,93;114,98;1,08;5.084.375,84;3,03;25,36;2,76;2.137.514.464,12;259.421,00;Ativa;18.591.052,00
VIUR11;8,23;0,072000;10,50;9,06;0,91;392.057,06;5,58;;;244.201.443,22;39.226,00;Ativa;26.946.220,00
VJFD11;0,00;0,740000;0,00;136,34;;;1,15;;;664.817.502,79;97,00;Ativa;4.876.129,00
VLIQ11;0,00;;0,00;0,00;;;;;;0,00;1,00;Ativa;0,00
VLJS11;1.141,14;28,819221;0,00;975,33;1,17;;2,44;;;25.425.492,32;9,00;Passiva;26.068,00
VLOL11;98,00;1,856441;6,35;111,06;0,88;160.238,13;16,46;14,56;-2,24;198.219.080,15;3.127,00;Passiva;1.784.828,00
VOTS11;81,99;0,750000;15,34;94,03;0,87;3.963,00;3,23;28,49;0,00;77.851.965,30;696,00;Ativa;827.913,00
VPSI11;0,00;0,188227;0,00;21,42;;;1,01;32,79;;172.909.030,51;53,00;Passiva;8.071.897,00
VRTA11;89,56;0,700000;12,19;94,33;0,95;2.162.950,97;3,90;0,62;-4,86;1.470.814.336,50;122.909,00;Ativa;15.592.424,00
VSEC11;0,21;0,080000;952,38;3,00;0,07;2,50;99,26;-0,62;-86,32;188.468,90;64,00;Ativa;62.735,00
VSHO11;76,98;0,720000;10,18;101,41;0,76;174.054,74;1,58;27,16;-4,72;212.838.822,52;3.276,00;Ativa;2.098.800,00
VSLH11;2,99;0,030000;24,92;10,22;0,29;309.930,29;0,50;;;305.283.221,57;91.245,00;Ativa;29.864.091,00
VTLT11;95,00;0,880000;10,91;101,11;0,94;212.353,68;3,16;5,12;-7,02;213.846.188,19;6.064,00;Ativa;2.115.000,00
VTPA11;0,00;;0,00;100,45;;;0,00;;;65.292.822,67;1,00;Ativa;650.000,00
VTPL11;0,00;5,110000;0,00;77,04;;;3,01;;;106.790.661,38;53,00;Ativa;1.386.242,00
VTRT11;0,00;0,107508;0,00;100,80;;;20,14;;;1.030.654.046,20;499,00;Ativa;10.224.963,00
VTVI11;0,00;;0,00;34,74;;;1,53;;;61.870.159,51;1,00;Ativa;1.780.984,00
VTXI11;0,00;;0,00;9,55;;;36,04;;;988.120,08;2,00;Ativa;103.500,00
VVCO11;12,78;0,323281;0,00;14,01;0,91;285.034,42;4,17;;20,25;70.250.520,08;3.729,00;Ativa;5.014.556,00
VVCR11;23,00;0,300000;19,22;22,34;1,03;81.799,61;5,60;-1,27;-34,41;24.085.452,18;3.141,00;Ativa;1.078.042,00
VVPR11;101,50;0,892340;0,88;98,03;1,04;1.249.061,55;1,27;;0,33;226.032.234,18;1.372,00;Ativa;2.305.771,00
VVRI11;100,00;1,300000;6,90;96,41;1,04;10.268,68;4,10;;;38.565.153,26;66,00;Ativa;400.000,00
VXXV11;1.030,00;10,760000;0,00;1.072,63;0,96;6.468.571,67;0,05;;;285.710.669,37;22,00;Ativa;266.364,00
WHGR11;9,64;0,100000;11,72;10,09;0,96;456.154,48;1,69;;;253.199.801,89;8.823,00;Ativa;25.089.531,00
WPLZ11;65,10;0,410000;8,83;87,80;0,74;10.318,00;0,92;7,03;-5,69;89.618.455,74;1.873,00;Passiva;1.020.747,00
WSEC11;85,90;0,947800;15,19;100,89;0,85;12.893,86;2,49;;;24.783.243,69;444,00;Ativa;245.651,00
WTSP11B;36,50;0,200000;5,33;72,52;0,50;2.950,06;0,68;6,40;-15,27;71.984.230,05;200,00;Ativa;992.565,00
XBXO11;0,00;;0,00;94,95;;;0,00;;;288.890.053,26;6,00;Ativa;3.042.600,00
XPCI11;87,79;0,900000;11,84;94,75;0,93;2.356.375,58;0,97;1,83;-0,17;824.443.352,07;73.361,00;Ativa;8.701.551,00
XPCM11;12,00;0,070000;11,67;41,83;0,29;30.813,77;8,48;-41,46;-41,06;100.994.615,18;25.373,00;Passiva;2.414.570,00
XPHT11;123,00;1,900000;12,15;55,72;2,21;230.869,59;38,80;;9,03;607.450.694,60;1.442,00;Ativa;10.901.217,00
XPHT12;45,00;0,560000;1,24;55,72;0,81;42.650,26;38,80;;-16,81;607.450.694,60;1.442,00;Ativa;10.901.217,00
XPIN11;83,00;0,650000;9,34;103,57;0,80;404.324,87;2,45;1,10;-10,30;740.570.598,23;44.856,00;Ativa;7.150.422,00
XPLG11;113,00;0,780000;7,98;111,33;1,02;3.739.302,65;1,52;8,05;-4,49;3.017.112.409,31;312.017,00;Ativa;27.101.061,00
XPML11;112,20;0,840000;8,50;114,96;0,98;11.209.732,26;13,12;27,91;0,89;3.050.727.984,48;336.875,00;Ativa;26.537.865,00
XPPR11;22,34;0,100000;9,85;70,49;0,32;336.843,77;3,67;-30,77;-35,98;515.697.388,77;61.991,00;Ativa;7.316.171,00
XPSF11;8,57;0,075000;10,69;8,81;0,97;582.819,26;1,24;0,78;-3,71;381.685.180,11;46.486,00;Ativa;43.302.140,00
YUFI11;88,90;0,383187;3,70;101,66;0,87;149,00;8,94;;;50.084.544,38;56,00;Ativa;492.650,00
ZAVI11;129,35;1,160000;9,53;135,22;0,96;377.343,13;6,33;;;158.659.136,14;3.311,00;Ativa;1.173.322,00
ZIFI11;900,00;3,304958;0,00;1.205,80;0,75;17.671,60;0,00;;;57.257.472,65;65,00;Ativa;47.485,00
