,ROE,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
SAPR3,"15,03","13,11","15,05","14,35","17,49","15,61","13,32","13,04","10,49","11,09","11,30","13,82","12,30"
SAPR4,"15,03","13,11","15,05","14,35","17,49","15,61","13,32","13,04","10,49","11,09","11,30","13,82","12,30"
SHUL4,"26,54","24,22","21,21","19,10","15,67","12,99","8,23","6,71","10,99","13,56","17,14","14,57","17,39"
SMTO3,"17,16","19,10","37,15","27,70","18,84","9,55","14,45","10,72","7,91","13,78","6,43","3,60","6,48"
TAEE11,"17,46","22,06","33,12","37,55","20,33","23,43","14,91","20,01","20,78","21,42","20,74","14,38","21,99"
TAEE3,"17,46","22,06","33,12","37,55","20,33","23,43","14,91","20,01","20,78","21,42","20,74","14,38","21,99"
TAEE4,"17,46","22,06","33,12","37,55","20,33","23,43","14,91","20,01","20,78","21,42","20,74","14,38","21,99"
TRPL3,"13,53","13,98","20,96","24,44","14,94","17,00","12,43","48,75","9,15","7,32","0,65","16,61","20,16"
TRPL4,"13,53","13,98","20,96","24,44","14,94","17,00","12,43","48,75","9,15","7,32","0,65","16,61","20,16"
WIZC3,"25,32","35,59","59,94","68,46","114,35","105,18","98,44","125,26","87,61","85,82","47,09","66,43",
WLMM3,"17,35","18,86","19,51","11,78","11,85","4,14","-1,78","-4,49","0,89","2,52","4,04","7,04","8,21"
