TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABM;40,18;2,13;11,09;1,41;0,53;100,00;4,81;2,96;5,19;10,01;3,18;0,66;0,33;4,76;-0,81;1,47;12,76;4,77;9,90;0,37;0,63;1,61;7,44;127,27;;28,38;3,62;;2.633.083.796,00
ABMD;381,02;;64,40;11,16;10,13;81,32;31,76;24,84;46,32;47,95;-2,40;-0,53;16,00;18,50;-27,11;7,93;17,32;15,72;17,32;0,91;0,09;0,63;18,30;21,24;;34,15;5,92;;17.180.649.024,00
ABNB;136,43;;37,90;17,23;4,11;82,33;26,80;25,31;35,13;36,06;0,33;0,16;9,59;13,56;-76,74;1,47;45,46;10,86;14,30;0,24;0,76;0,43;26,81;;;7,93;3,60;;87.053.745.548,00
ABST;11,49;1,56;57,33;-14,16;4,68;87,94;14,58;10,16;22,38;36,85;-3,08;;5,82;-36,16;-13,87;0,84;-24,69;8,17;-24,75;-0,33;1,33;0,80;16,69;;;-0,81;0,20;;609.650.208,00
ABT;98,14;2,04;33,00;4,58;2,32;55,16;17,11;12,83;16,84;26,01;1,26;0,23;4,23;18,60;-3,42;1,64;13,88;7,04;10,68;0,51;0,49;0,55;9,77;70,80;;21,42;2,97;;170.308.034.120,00
ABTX;41,63;;10,98;1,18;0,12;0,00;38,18;28,90;7,09;-11,75;-20,06;-2,84;3,17;;-0,12;;10,73;1,12;11,72;0,10;0,90;0,04;19,36;28,98;;35,34;3,79;;830.943.126,00
ABUS;2,01;;-4,64;2,51;1,91;100,00;-305,18;-309,89;-4,72;-2,57;2,12;-1,13;14,38;2,52;-18,78;6,47;-54,15;-41,25;-53,32;0,76;0,24;0,13;29,53;;;0,80;-0,44;;336.788.967,00
AC;36,80;0,54;43,64;0,89;0,86;100,00;145,29;125,66;37,11;19,71;-18,03;-0,42;54,83;;-0,86;;2,03;1,96;2,20;0,96;0,03;0,02;-10,87;;;41,48;0,84;;798.151.520,00
ACA;73,93;0,27;12,77;1,59;1,03;19,50;17,30;12,65;6,67;10,22;0,90;0,15;1,62;6,52;-1,43;2,32;12,44;8,10;11,10;0,65;0,35;0,64;8,93;22,34;;46,70;5,81;;3.608.373.200,00
ACAC;10,92;;76,03;-16,44;1,60;;;;48,50;48,34;-0,15;;;-42,97;-1,60;0,13;-21,63;2,10;-21,60;-0,10;0,11;0,00;;;;-0,66;0,14;;63.334.908,00
ACACU;12,22;;85,08;-18,40;1,79;;;;54,27;48,34;-0,15;;;-48,08;-1,80;0,13;-21,63;2,10;-21,60;-0,10;0,11;0,00;;;;-0,66;0,14;;63.334.908,00
ACACW;0,13;;0,91;-0,20;0,02;;;;0,58;48,34;-0,15;;;-0,51;-0,02;0,13;-21,63;2,10;-21,60;-0,10;0,11;0,00;;;;-0,66;0,14;;63.334.908,00
ACAD;21,60;;-32,42;9,08;5,59;97,52;-19,22;-20,12;-32,73;-30,44;3,54;-0,95;6,52;11,79;-23,93;2,62;-28,00;-17,24;-28,00;0,62;0,38;0,86;32,87;;;2,42;-0,68;;3.598.761.222,00
ACAM;0,00;;;;;;;;;-0,30;-0,30;-0,09;;;;7,38;16,42;0,26;16,40;0,02;0,03;0,00;;;;;;;0,00
ACAMU;0,00;;;;;;;;;-0,30;-0,30;-0,09;;;;7,38;16,42;0,26;16,40;0,02;0,03;0,00;;;;;;;0,00
ACAMW;0,00;;;;;;;;;-0,30;-0,30;-0,09;;;;7,38;16,42;0,26;16,40;0,02;0,03;0,00;;;;;;;0,00
ACB;0,60;;-0,17;0,43;0,26;9,59;-104,57;-776,01;;-0,14;1,10;-0,38;1,29;0,48;-0,84;5,13;-259,32;-158,40;-25,99;0,61;0,39;0,20;24,35;;;1,39;-3,60;;226.101.780,00
ACBI;32,34;;13,56;1,80;0,16;0,00;53,98;40,56;8,69;-17,34;-27,53;-4,88;5,50;;-0,16;;13,31;1,15;14,52;0,09;0,91;0,03;13,36;;;17,92;2,39;;656.653.998,00
ACCD;10,70;;-5,25;1,79;0,93;44,59;-41,93;-41,86;-7,75;-5,07;0,13;-0,04;2,20;3,46;-1,54;3,09;-34,18;-17,73;-21,15;0,52;0,48;0,42;;;;6,01;-2,05;;809.251.700,00
ACCO;5,71;5,23;-20,03;0,66;0,19;30,10;3,05;-1,45;3,96;26,83;17,37;1,20;0,29;1,30;-0,29;1,79;-3,28;-0,96;1,43;0,29;0,71;0,67;-0,01;;;8,75;-0,29;;541.978.354,00
ACEL;10,89;;16,98;4,95;1,08;29,94;9,39;4,86;5,63;11,41;2,63;1,48;0,83;4,96;-1,60;3,03;29,15;6,37;11,80;0,22;0,78;1,31;31,31;54,89;;2,20;0,64;;932.356.062,00
ACER;0,83;;-0,52;-0,60;1,37;;;;-0,52;-1,29;-0,76;;;-0,55;-2,54;0,16;-116,59;-264,63;1.777,30;-2,27;3,27;0,00;;;;-1,36;-1,58;;20.304.871,00
ACET;1,42;;-0,53;0,26;0,22;;;;-0,56;1,25;1,79;-0,86;;0,32;-0,89;11,08;-48,17;-41,48;-48,14;0,86;0,14;0,00;;;;5,55;-2,67;;61.584.666,00
