TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CFBI;0,00;;;;;0,00;10,58;6,93;;-53,73;-53,73;-2,04;;;;;2,48;0,22;2,09;0,09;0,91;0,03;;;;;;;0,00
CFBK;16,75;1,31;6,24;0,74;0,06;0,00;27,57;18,84;4,31;-1,35;-5,61;-0,98;1,18;;-0,06;;11,94;0,90;8,30;0,08;0,92;0,05;31,65;68,28;;22,50;2,69;;109.704.125,00
CFFI;55,38;3,17;6,32;0,92;0,08;0,00;28,30;20,22;4,07;-5,29;-9,81;-2,01;1,28;;-0,08;;14,63;1,22;9,74;0,08;0,92;0,06;2,13;34,71;;59,49;8,70;;186.568.180,00
CFFN;4,64;13,30;10,90;0,60;0,06;0,00;51,20;15,44;3,05;8,97;5,68;1,03;1,68;;-0,06;;5,49;0,57;4,43;0,10;0,90;0,04;-2,05;0,09;;7,79;0,43;;634.631.420,00
CFG;26,26;6,38;5,75;0,53;0,06;0,00;32,57;19,39;3,03;-8,35;-11,76;-1,81;1,11;;-0,06;;9,18;0,97;11,12;0,11;0,89;0,05;7,04;4,64;;49,94;4,58;;12.402.450.944,00
CFII;9,19;;-6.805,93;93,92;0,94;;;;;-6.805,46;0,46;-0,01;;23.480,45;-0,94;1,05;-1,38;-0,01;-1,38;0,01;0,99;0,00;;;;0,10;0,00;;469.609.009,19
CFIIU;9,80;;-7.257,68;100,16;1,00;;;;;-6.805,46;0,46;-0,01;;25.039,00;-1,00;1,05;-1,38;-0,01;-1,38;0,01;0,99;0,00;;;;0,10;0,00;;469.609.009,19
CFIIW;1,65;;-1.221,96;16,86;0,17;;;;;-6.805,46;0,46;-0,01;;4.215,75;-0,17;1,05;-1,38;-0,01;-1,38;0,01;0,99;0,00;;;;0,10;0,00;;469.609.009,19
CFMS;2,26;;-0,43;0,56;0,26;33,21;-68,39;-72,73;-0,50;-0,31;0,14;-0,17;0,31;0,41;-1,35;5,07;-129,59;-61,23;-74,21;0,47;0,53;0,84;-4,50;;;4,07;-5,27;;17.803.150,00
CFR;90,59;3,90;8,37;1,72;0,12;0,00;38,84;28,86;5,42;-20,01;-26,23;-7,23;2,42;;-0,12;;20,49;1,43;11,66;0,07;0,93;0,05;8,87;9,72;;52,82;10,82;;5.808.911.629,00
CFRX;0,56;;-0,17;-5,41;0,31;;;;-0,17;0,24;0,40;;;146,21;-2,19;1,00;-3.235,20;-186,19;3.235,20;-0,06;1,06;0,00;;;;-0,10;-3,35;;5.994.688,00
CFX;39,06;;29,52;0,46;0,25;41,87;6,66;1,86;4,07;13,57;5,33;0,30;0,55;1,65;-0,34;2,25;1,55;0,84;2,83;0,54;0,46;0,45;3,88;-10,97;;85,27;1,32;;2.115.087.282,00
CFXA;177,71;;134,29;2,08;1,13;41,87;6,66;1,86;18,52;13,57;5,33;0,30;2,50;7,52;-1,55;2,25;1,55;0,84;2,83;0,54;0,46;0,45;3,88;-10,97;;85,27;1,32;;2.115.087.282,00
CG;30,22;5,93;26,50;1,74;0,51;100,00;39,41;15,26;8,80;7,53;-2,74;-0,46;4,04;;-0,51;;6,55;1,92;6,28;0,29;0,72;0,13;5,10;38,07;;17,40;1,14;;10.877.752.462,00
CGA;2,26;;-1,76;0,21;0,15;17,50;-14,27;-12,95;-1,85;1,84;3,44;-0,45;0,23;0,28;-0,81;2,76;-11,90;-8,30;-13,77;0,70;0,30;0,64;-9,52;;;10,78;-1,28;;30.240.834,00
CGBD;14,42;14,97;9,22;0,81;0,37;100,00;84,84;46,41;5,31;11,81;6,76;1,09;4,28;;-0,37;;8,84;4,01;7,50;0,45;0,55;0,09;-0,21;0,34;;17,71;1,56;;732.462.458,00
CGC;0,81;;-0,73;0,96;0,37;-20,48;-258,61;-250,55;-0,76;-1,12;-0,41;0,55;1,84;1,87;-0,62;1,96;-130,40;-50,36;-60,55;0,39;0,61;0,20;40,68;;;0,85;-1,10;;612.086.787,00
CGEN;0,87;;0,00;0,85;0,70;88,67;-373.522,22;-352.352,60;;0,00;0,00;-1,08;12,81;0,87;-9,23;7,29;-23.391,15;-19.164,87;-24.796,51;0,82;0,18;0,05;;;;1,02;-239,35;;76.844.664,00
CGIX;4,61;;-4,16;3,92;1,94;47,26;-60,26;-71,50;-6,62;-4,68;0,26;-0,21;2,98;-9,66;-2,73;0,59;-94,17;-46,70;-77,42;0,50;0,50;0,65;-6,46;;;1,18;-1,11;;18.833.246,83
CGNT;4,58;;-4,61;1,26;0,62;67,89;-10,90;-16,91;;-5,97;1,22;-0,21;0,78;5,51;-1,35;1,27;-27,28;-13,52;-24,56;0,50;0,50;0,80;;;;3,62;-0,99;;322.055.524,00
CGNX;42,40;0,66;30,98;5,06;3,72;71,56;25,86;22,59;24,78;25,67;-1,49;-0,28;7,00;13,74;-5,87;3,82;16,34;12,01;16,33;0,73;0,27;0,53;5,60;4,05;;8,35;1,36;;7.305.227.440,00
CGO;8,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CGRO;9,75;;-249,68;29,76;0,99;;;;;-225,90;0,59;-0,08;;391,60;-0,99;3,62;-11,92;-0,40;-13,16;0,03;0,97;0,00;;;;0,33;-0,04;;148.809.375,00
CGROU;11,20;;-286,81;34,19;1,14;;;;;-225,90;0,59;-0,08;;449,84;-1,14;3,62;-11,92;-0,40;-13,16;0,03;0,97;0,00;;;;0,33;-0,04;;148.809.375,00
CGROW;2,37;;-60,69;7,23;0,24;;;;;-225,90;0,59;-0,08;;95,19;-0,24;3,62;-11,92;-0,40;-13,16;0,03;0,97;0,00;;;;0,33;-0,04;;148.809.375,00
CHA;0,00;;;;;71,24;8,66;6,14;;4,35;4,35;0,10;;;;0,31;1,64;0,83;1,53;0,50;0,50;0,13;1,36;-1,31;;;;;0,00
CHCI;4,76;;7,50;1,52;1,14;23,57;16,58;14,81;6,46;5,38;-1,32;-0,30;1,11;;-1,14;;20,28;15,20;20,94;0,75;0,25;1,03;-2,85;;;3,13;0,63;;45.913.532,00
CHCO;90,52;2,87;11,83;2,14;0,22;0,00;48,49;36,85;8,23;0,33;-8,64;-2,06;4,36;;-0,22;;18,10;1,87;12,21;0,10;0,90;0,05;4,85;13,45;;42,39;7,67;;1.358.406.484,00
CHD;91,90;1,17;50,70;5,79;2,66;42,81;11,69;7,93;25,69;37,35;3,05;0,51;4,02;49,83;-3,27;1,41;11,42;5,25;8,82;0,46;0,54;0,66;7,32;-11,05;;15,90;1,82;;22.611.719.300,00
CHDN;114,90;0,62;24,11;10,07;1,31;32,88;31,91;16,28;10,15;18,28;5,98;4,89;3,92;-132,71;-1,43;0,90;41,78;5,42;10,55;0,13;0,87;0,33;15,44;25,61;;11,40;4,76;;8.602.459.590,00
CHE;521,83;0,37;34,64;8,24;5,21;34,10;13,97;10,36;21,47;25,22;-0,52;-0,17;3,59;226,31;-6,72;1,11;23,79;15,05;24,34;0,63;0,37;1,45;5,08;20,52;;63,15;15,02;;7.867.422.178,00
CHEF;21,37;;40,55;1,99;0,51;23,68;2,92;0,68;6,13;16,94;7,43;1,56;0,28;2,21;-0,90;2,14;4,90;1,25;6,80;0,26;0,74;1,85;14,96;14,07;;10,66;0,52;;847.656.009,00
CHEK;4,52;;-1,91;0,53;0,49;;;;;1,72;3,63;-1,02;;0,56;-8,95;13,04;-27,85;-25,43;-28,01;0,91;0,09;0,00;;;;8,45;-2,35;;26.438.384,00
CHEKZ;0,01;;0,00;0,00;0,00;;;;;1,72;3,63;-1,02;;0,00;-0,02;13,04;-27,85;-25,43;-28,01;0,91;0,09;0,00;;;;8,45;-2,35;;26.438.384,00
CHFS;5,28;;-0,91;0,89;0,72;54,52;-212,70;-212,82;-0,94;-0,01;0,91;-0,88;1,94;0,97;-9,79;5,17;-97,05;-79,13;-96,58;0,82;0,18;0,37;163,12;;;5,96;-5,79;;14.446.396,80
CHGG;8,92;;3,68;1,00;0,52;73,91;19,22;37,85;4,17;9,91;2,68;0,37;1,39;3,39;-0,68;3,13;27,07;14,23;-0,04;0,53;0,47;0,38;24,63;;;8,97;2,43;;1.028.665.996,00
CHH;123,37;0,85;21,05;113,96;2,90;95,75;28,53;19,27;11,72;17,26;3,09;24,73;4,06;-106,45;-3,46;0,86;541,45;13,77;24,08;0,03;0,97;0,71;8,29;22,11;;1,09;5,88;;6.215.084.512,00
CHI;10,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHKP;133,94;;19,94;5,38;2,87;87,44;38,25;34,35;;16,04;-1,84;-0,55;6,85;42,88;-4,49;1,23;26,99;14,39;25,67;0,53;0,47;0,42;4,67;-0,15;;24,91;6,72;;15.670.136.178,00
CHL;0,00;;;;;56,54;10,83;11,27;;-21,34;-21,34;-0,41;;;;1,18;1,99;1,36;1,29;0,68;0,32;0,12;5,22;2,83;;;;;0,00
CHMA;3,76;;-2,42;3,47;1,36;95,78;-2.367,39;-2.968,35;-3,07;-1,43;1,60;-1,84;71,86;1,82;-9,68;7,91;-143,47;-56,38;-114,52;0,39;0,61;0,02;;;;1,08;-1,55;;217.720.544,00
CHMG;39,63;3,13;6,82;1,05;0,07;0,00;30,60;22,71;4,37;-10,96;-16,02;-3,34;1,55;;-0,07;;15,47;1,03;11,60;0,07;0,93;0,05;5,02;31,11;;37,59;5,81;;187.045.674,00
CHN;10,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHNG;27,49;;-117,28;2,74;0,94;59,39;3,01;-2,20;10,60;127,47;41,76;1,34;2,58;42,25;-1,06;1,23;-2,34;-0,80;0,72;0,34;0,66;0,36;;;;10,02;-0,23;;9.025.200.665,00
CHNGU;73,71;;-314,47;7,35;2,51;59,39;3,01;-2,20;28,43;127,47;41,76;1,34;6,92;113,30;-2,85;1,23;-2,34;-0,80;0,72;0,34;0,66;0,36;;;;10,02;-0,23;;9.025.200.665,00
CHNR;1,85;;-0,01;-4,29;26,94;1,47;-528.522,06;-711.366,67;-0,01;-0,01;0,00;;74,34;-4,25;-473,94;0,13;-41.075,23;-257.759,86;30.517,55;-6,28;7,28;0,36;;;;-0,43;-177,02;;15.166.115,00
CHPM;10,18;;11,96;-10,96;1,41;;;;11,96;11,96;0,00;;;-69,01;-1,41;0,09;-91,59;11,77;-91,59;-0,13;0,14;0,00;;;;-0,93;0,85;;265.809.980,00
CHPMU;10,15;;11,93;-10,92;1,40;;;;11,93;11,96;0,00;;;-68,80;-1,41;0,09;-91,59;11,77;-91,59;-0,13;0,14;0,00;;;;-0,93;0,85;;265.809.980,00
CHPMW;0,00;;;;;;;;;11,96;0,00;;;;;0,09;-91,59;11,77;-91,59;-0,13;0,14;0,00;;;;-0,93;0,85;;265.809.980,00
CHPT;4,97;;-4,85;6,48;1,67;15,63;-63,68;-65,83;-5,46;-5,12;-0,09;0,11;3,19;5,07;-4,74;2,03;-133,63;-34,42;-62,44;0,26;0,74;0,52;;;;0,76;-1,02;;1.789.468.380,00
CHRA;2,18;;-0,22;-0,42;0,02;1,79;-4,53;-10,59;0,52;-10,87;-10,35;;0,02;0,41;-0,03;1,14;-188,59;-9,06;-8,17;-0,05;0,94;0,86;2,04;;;-5,25;-9,90;;7.417.668,00
CHRS;3,86;;-1,55;-2,35;0,87;49,89;-125,07;-145,18;-1,82;-3,24;-1,44;;2,26;1,90;-4,88;2,28;-151,13;-56,24;-76,50;-0,37;1,37;0,39;166,98;;;-1,64;-2,48;;410.665.786,00
CHRW;87,21;2,80;19,01;7,32;1,88;14,95;3,68;2,66;12,12;15,78;2,06;1,10;0,50;35,01;-4,31;1,11;38,48;9,88;20,30;0,26;0,74;3,72;10,68;13,25;;11,92;4,59;;10.153.982.394,00
CHS;7,50;;7,05;2,23;0,75;39,22;6,34;6,19;5,30;5,94;-0,94;-0,31;0,44;10,24;-1,28;1,21;31,63;10,63;29,68;0,34;0,66;1,72;-1,26;2,00;;3,36;1,06;;925.782.750,00
CHSCL;25,69;;;;;5,31;4,65;4,15;;0,68;0,68;0,15;;;;1,42;20,38;10,70;17,35;0,53;0,47;2,58;8,33;87,94;;;;;0,00
CHSCM;25,05;;;;;5,31;4,65;4,15;;0,68;0,68;0,15;;;;1,42;20,38;10,70;17,35;0,53;0,47;2,58;8,33;87,94;;;;;0,00
CHSCN;25,46;;;;;5,31;4,65;4,15;;0,68;0,68;0,15;;;;1,42;20,38;10,70;17,35;0,53;0,47;2,58;8,33;87,94;;;;;0,00
CHSCO;26,65;;;;;5,31;4,65;4,15;;0,68;0,68;0,15;;;;1,42;20,38;10,70;17,35;0,53;0,47;2,58;8,33;87,94;;;;;0,00
CHSCP;30,50;;;;;5,31;4,65;4,15;;0,68;0,68;0,15;;;;1,42;20,38;10,70;17,35;0,53;0,47;2,58;8,33;87,94;;;;;0,00
CHT;36,02;4,24;21,48;2,20;1,56;36,48;21,54;17,04;;16,37;-0,61;-0,08;3,66;44,89;-1,97;1,20;10,24;7,27;9,50;0,71;0,29;0,43;-1,60;-1,81;;16,40;1,68;;27.942.324.094,00
CHTR;444,00;;14,37;6,36;0,46;38,82;21,81;8,48;3,22;13,78;8,20;9,32;1,22;-8,26;-0,47;0,33;44,22;3,18;9,50;0,07;0,93;0,37;5,37;-12,57;;69,89;30,90;;66.453.879.600,00
CHU;0,00;;;;;93,83;76,53;3,82;;-0,17;-0,17;-0,12;;;;0,49;3,60;2,05;70,68;0,57;0,43;0,54;0,88;2,42;;;;;0,00
CHUY;35,87;;24,56;2,48;1,33;20,46;6,82;5,97;10,69;18,70;-2,74;-0,32;1,47;13,32;-1,65;2,08;10,11;5,42;10,11;0,54;0,46;0,91;2,70;-6,35;;14,49;1,46;;647.044.582,00
CHW;5,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHWY;18,24;;157,91;21,46;2,69;28,31;0,50;0,46;49,90;127,42;-16,61;-2,48;0,72;-53,96;-7,45;0,93;13,59;1,71;13,59;0,13;0,87;3,72;36,85;;;0,85;0,12;;7.849.224.672,00
CHX;36,48;0,88;28,66;4,15;2,15;26,91;9,66;6,45;11,59;20,03;0,90;0,20;1,85;10,70;-3,89;1,82;14,47;7,52;12,84;0,52;0,48;1,17;30,37;7,18;;8,80;1,27;;7.171.307.712,00
CHY;11,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CI;289,61;1,66;12,92;1,89;0,57;81,83;5,18;3,57;6,81;11,20;2,31;0,49;0,46;;-0,57;;14,61;4,43;10,40;0,30;0,70;1,24;33,98;24,41;;153,54;22,44;;85.718.796.761,00
CIA;2,99;;-32,39;1,01;0,09;31,67;-2,29;-1,93;1.454,47;-23,33;3,88;-0,14;0,62;;-0,09;;-3,12;-0,28;-4,31;0,09;0,91;0,15;-1,64;;;2,96;-0,09;;148.356.026,00
CIB;26,34;14,73;5,25;0,60;0,07;79,69;0,00;16,04;;;;-0,04;0,84;1,61;-0,34;1,05;11,42;1,28;;0,11;0,89;0,08;-0,66;9,35;;43,79;5,00;;6.333.632.112,00
CIDM;0,29;;-5,68;1,33;0,55;49,77;-11,33;-12,65;-12,23;-5,86;0,48;-0,10;0,72;-11,54;-1,07;0,91;-23,51;-9,64;-19,21;0,41;0,59;0,76;-9,11;;;0,22;-0,05;;51.936.796,00
CIEN;47,29;;31,52;2,37;1,22;43,19;9,37;5,23;12,99;18,40;0,75;0,10;1,65;2,45;-3,65;3,95;7,51;3,87;6,64;0,51;0,49;0,74;5,33;-34,43;;19,93;1,50;;6.991.467.096,00
CIF;1,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CIG;2,45;8,97;10,04;1,31;0,50;16,49;11,11;8,03;;9,05;1,83;0,33;0,81;9,66;-0,68;1,25;13,02;4,98;11,05;0,38;0,62;0,62;-0,06;20,74;;1,88;0,24;;5.391.285.025,00
CIG.C;3,88;5,75;15,68;2,04;0,78;16,49;11,11;8,03;;9,05;1,83;0,33;1,26;15,08;-1,06;1,25;13,02;4,98;11,05;0,38;0,62;0,62;-0,06;20,74;;1,88;0,24;;5.391.285.025,00
CIGI;96,36;0,31;67,92;9,31;1,09;37,86;8,01;1,46;;15,26;2,87;2,16;0,99;54,05;-1,59;1,07;13,71;1,60;14,86;0,12;0,88;1,10;12,86;-2,07;;10,36;1,42;;4.546.206.984,00
CIH;0,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CII;18,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CIIC;21,60;;-105,37;111,78;2,15;;;;;-109,24;0,07;-0,07;;-115,48;-2,15;0,08;-106,08;-2,04;-106,06;0,02;0,06;0,00;;;;0,19;-0,20;;558.899.978,40
CIICU;27,99;;-136,55;144,85;2,78;;;;;-109,24;0,07;-0,07;;-149,64;-2,79;0,08;-106,08;-2,04;-106,06;0,02;0,06;0,00;;;;0,19;-0,20;;558.899.978,40
CIICW;8,74;;-42,64;45,23;0,87;;;;;-109,24;0,07;-0,07;;-46,72;-0,87;0,08;-106,08;-2,04;-106,06;0,02;0,06;0,00;;;;0,19;-0,20;;558.899.978,40
CINF;103,91;2,83;12,04;1,48;0,52;18,38;18,10;14,45;8,85;9,68;0,07;0,01;1,74;;-0,52;;12,28;4,32;11,83;0,35;0,65;0,30;-3,20;;;70,32;8,63;;16.298.927.742,00
CINR;20,31;;21,48;;0,74;14,15;9,42;3,84;5,13;11,52;2,77;;0,82;2,75;-1,20;3,42;;3,45;35,23;0,00;0,64;0,90;-4,21;-25,36;;0,00;0,95;;401.693.211,00
CINT;6,30;;80,68;3,90;1,75;51,47;35,26;3,83;;9,15;0,38;0,17;3,09;10,24;-3,22;1,60;4,84;2,18;27,41;0,45;0,55;0,57;;;;1,61;0,08;;843.326.190,00
CIR;55,77;;-21,80;7,15;1,12;30,88;-1,20;-6,62;21,97;-165,46;-45,57;2,72;1,44;4,79;-1,96;2,22;-32,81;-5,15;-2,14;0,16;0,84;0,78;9,26;10,46;;7,80;-2,56;;1.137.250.686,00
CIT;53,50;;7,61;0,86;0,10;0,00;40,20;23,38;3,36;-4,31;-8,74;-1,70;1,78;;-0,10;;11,29;1,28;15,34;0,11;0,89;0,05;3,81;;;62,26;7,03;;5.305.578.950,00
CIVB;15,67;3,77;5,34;0,71;0,07;0,00;36,72;24,13;3,51;-3,32;-6,83;-1,37;1,29;;-0,07;;13,20;1,28;11,58;0,10;0,90;0,05;14,94;19,96;;22,22;2,93;;246.785.263,00
CIVI;82,00;11,07;7,45;1,52;0,75;83,40;44,60;32,80;3,39;5,75;0,26;0,07;2,44;3,50;-1,14;2,80;20,40;10,12;13,07;0,50;0,50;0,31;81,57;;;53,83;10,98;;7.688.377.400,00
CIXX;11,40;2,38;5,92;1,60;0,30;100,00;53,36;17,55;;3,27;1,32;1,09;1,04;-2,35;-0,38;0,62;26,99;5,13;23,16;0,19;0,81;0,29;;;;7,14;1,93;;2.155.033.200,00
CIZN;10,32;7,75;8,94;1,44;0,05;0,00;22,72;12,12;4,77;-34,74;-39,51;-11,96;1,08;;-0,05;;16,15;0,50;6,46;0,03;0,97;0,04;5,45;21,03;;7,15;1,15;;57.961.248,00
CJJD;0,22;;-0,64;0,20;0,05;21,97;-5,93;-6,10;-0,85;-0,17;0,49;-0,15;0,04;0,71;-0,15;1,11;-31,54;-7,64;-13,99;0,24;0,76;1,25;8,37;;;1,09;-0,34;;5.213.384,00
CKH;41,50;;36,49;1,01;0,56;27,30;5,62;3,09;20,09;24,88;4,79;0,24;1,13;3,83;-0,75;2,22;2,76;1,52;3,14;0,55;0,45;0,49;7,63;;;41,20;1,14;;850.690.406,00
CKPT;1,60;;-0,60;-1,50;4,20;100,00;-31.185,64;-31.185,64;-0,60;-0,46;0,13;;186,07;-1,50;;0,26;-251,95;-703,15;251,95;-2,79;3,79;0,02;-35,54;;;-1,08;-2,72;;34.549.600,00
CL;71,29;2,66;39,38;-921,12;3,63;56,87;13,24;8,02;19,56;27,15;3,31;;3,16;73,23;-5,46;1,17;-2.339,06;9,23;18,75;0,00;1,00;1,15;3,06;-2,48;;-0,08;1,81;;58.934.837.035,00
CLA;12,00;;-5,45;0,06;0,00;;;;;14,23;19,59;-0,22;;0,22;0,00;14,66;-1,10;-0,03;-1,12;0,02;0,98;0,00;;;;200,00;-2,20;;300.000,00
CLA.U;13,45;;-6,11;0,07;0,00;;;;;14,23;19,59;-0,22;;0,25;0,00;14,66;-1,10;-0,03;-1,12;0,02;0,98;0,00;;;;200,00;-2,20;;300.000,00
CLA.WS;2,93;;-1,33;0,01;0,00;;;;;14,23;19,59;-0,22;;0,05;0,00;14,66;-1,10;-0,03;-1,12;0,02;0,98;0,00;;;;200,00;-2,20;;300.000,00
CLAR;7,22;1,73;-3,41;0,93;0,54;35,47;-19,69;-19,79;-4,78;-4,89;-1,47;0,40;0,67;1,62;-0,99;3,89;-27,36;-15,93;-21,39;0,58;0,42;0,81;21,29;;;7,74;-2,12;;270.537.010,00
CLB;24,45;0,16;47,80;5,80;1,91;20,80;9,63;4,72;17,43;26,97;3,39;0,84;2,25;8,57;-3,10;2,38;12,14;3,99;9,66;0,33;0,67;0,85;-5,44;-25,21;;4,19;0,51;;1.140.944.580,00
CLBK;15,58;;26,01;1,61;0,16;0,00;33,72;16,63;10,95;9,29;-3,52;-0,44;4,32;;-0,16;;6,18;0,63;4,95;0,10;0,90;0,04;10,58;28,33;;9,71;0,60;;1.641.703.550,00
CLBS;0,42;;-1,04;0,31;0,30;;;;-1,03;1,76;2,70;-0,89;;0,36;-2,33;22,33;-29,82;-28,61;-35,84;0,96;0,04;0,00;;;;1,36;-0,41;;25.444.944,00
CLCT;91,92;;63,24;27,42;12,90;58,61;19,27;14,68;;46,15;-2,04;-1,16;9,28;42,45;-40,28;1,81;43,36;20,39;41,06;0,47;0,53;1,39;;;;3,35;1,45;;830.612.191,92
CLDB;29,15;;12,76;1,49;0,16;0,00;33,69;28,04;10,62;-9,47;-20,09;-2,82;3,58;;-0,16;;11,68;1,23;10,41;0,10;0,90;0,04;6,69;13,55;;19,55;2,28;;124.068.230,00
CLDR;15,99;;-33,28;4,26;1,98;80,84;-15,43;-15,73;415,56;-34,27;-0,35;0,04;5,23;44,53;-2,79;1,18;-12,80;-5,95;-8,91;0,47;0,53;0,38;39,25;;;3,75;-0,48;;4.736.508.231,00
CLDX;27,88;;-11,70;4,77;4,42;100,00;-3.476,77;-3.476,77;-11,69;-9,42;2,22;-0,91;406,67;5,31;-38,37;16,93;-40,76;-37,80;-40,62;0,93;0,07;0,01;-28,65;;;5,87;-2,39;;1.317.631.104,00
CLEU;0,28;;;;;;;;;;;-0,78;;;;26,00;0,00;0,00;;0,96;0,04;0,00;24,46;;;1,33;0,00;;8.847.524,00
CLF;15,42;;34,36;1,00;0,43;4,69;3,10;1,04;4,74;17,26;5,76;0,50;0,36;2,09;-0,70;2,10;2,92;1,25;4,79;0,43;0,57;1,20;65,24;29,47;;15,34;0,45;;7.843.877.982,00
CLFD;28,42;;9,22;1,38;1,20;35,28;19,48;14,91;6,71;4,47;-2,61;-0,51;1,37;1,62;-7,44;8,21;15,01;12,96;15,18;0,86;0,14;0,87;29,65;66,58;;20,44;3,07;;433.740.356,00
CLGN;5,39;;-4,07;1,54;1,37;-31,27;-2.551,72;-2.576,29;;-1,69;2,45;-0,92;104,84;1,70;-9,94;16,21;-37,95;-33,76;-37,59;0,89;0,11;0,01;185,13;;;3,46;-1,31;;61.475.106,00
CLGX;80,00;;19,54;8,14;1,38;63,65;20,15;18,35;11,21;22,81;5,02;2,30;3,59;30,63;-1,54;1,69;41,67;7,04;11,34;0,17;0,83;0,38;1,45;18,71;;9,82;4,09;;5.889.478.560,00
CLH;167,97;;22,39;4,31;1,49;31,15;10,04;7,60;10,04;20,63;3,69;0,94;1,70;9,74;-2,14;2,02;19,26;6,66;9,21;0,35;0,65;0,88;11,90;32,52;;38,96;7,51;;9.095.709.876,00
CLII;14,36;;;;;;;;;;;-8,75;;;;1,03;0,00;0,00;;0,03;0,97;0,00;;;;0,00;0,00;;412.850.000,00
CLII.U;16,88;;;;;;;;;;;-8,75;;;;1,03;0,00;0,00;;0,03;0,97;0,00;;;;0,00;0,00;;412.850.000,00
CLII.WS;3,81;;;;;;;;;;;-8,75;;;;1,03;0,00;0,00;;0,03;0,97;0,00;;;;0,00;0,00;;412.850.000,00
CLIR;1,12;;-7,87;6,09;4,19;24,75;-390,48;-390,48;-8,57;-6,31;1,49;-1,15;30,73;7,14;-34,86;3,01;-77,35;-53,25;-74,30;0,69;0,31;0,14;-7,08;;;0,19;-0,14;;43.189.552,00
CLLS;1,58;;-0,78;0,49;0,28;60,84;-458,75;-364,36;;0,35;0,97;-0,76;2,84;0,74;-0,61;3,17;-62,74;-35,30;-72,70;0,56;0,44;0,10;-5,27;;;3,25;-2,04;;87.822.404,00
CLM;7,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLMT;18,94;;-33,64;;0,54;8,11;2,93;-1,07;6,18;26,68;14,42;;0,36;-4,31;-0,77;0,71;;-1,60;6,53;0,00;1,11;1,50;4,48;;;0,00;-0,56;;1.514.410.202,00
CLNE;3,68;;-10,81;1,19;0,79;21,49;-14,23;-16,51;-54,76;-11,82;0,66;-0,06;1,79;3,12;-1,26;3,06;-10,97;-7,29;-7,77;0,66;0,34;0,44;4,23;;;3,12;-0,34;;820.517.824,00
CLOV;1,08;;-2,01;1,58;0,42;5,51;-9,29;-9,31;-2,00;-0,73;1,29;-1,01;0,19;;-0,42;;-78,78;-20,70;-78,61;0,26;0,74;2,22;;;;0,68;-0,54;;523.650.636,00
CLPS;1,00;5,00;63,00;0,41;0,29;100,00;100,00;2,91;1,85;-0,41;-2,24;-0,50;1,83;0,45;-3,57;3,30;0,65;0,45;22,31;0,70;0,30;0,16;37,12;16,83;;2,44;0,02;;23.626.100,00
CLPT;5,13;;-6,03;4,58;2,64;61,62;-95,62;-96,00;-6,24;-5,29;0,80;-0,60;5,79;3,64;-18,13;6,56;-76,01;-43,73;-55,59;0,58;0,42;0,46;22,73;;;1,11;-0,85;;126.386.271,00
CLR;74,27;;7,46;2,67;1,19;89,69;56,53;40,29;3,88;6,28;0,96;0,49;3,00;40,71;-1,44;1,20;35,86;15,89;23,32;0,44;0,56;0,39;23,63;;;27,78;9,96;;26.561.462.326,00
CLRB;2,54;;-0,79;-53,60;3,85;;;;-0,79;-0,61;0,16;;;-29,98;-27,85;0,87;-6.815,42;-488,98;6.841,11;-0,07;1,07;0,00;;;;-0,05;-3,27;;24.740.870,00
CLRBZ;0,12;;-0,04;-2,50;0,18;;;;-0,04;-0,61;0,16;;;-1,40;-1,30;0,87;-6.815,42;-488,98;6.841,11;-0,07;1,07;0,00;;;;-0,05;-3,27;;24.740.870,00
CLRO;0,75;131,58;0,87;0,42;0,35;35,08;142,55;104,93;0,59;-0,08;-0,71;-0,46;0,91;0,49;-2,35;6,81;48,26;40,50;48,13;0,84;0,16;0,39;-9,62;;;1,81;0,87;;17.969.250,00
CLS;24,35;;21,51;1,85;0,54;8,81;3,45;2,01;;14,18;1,63;0,24;0,43;2,37;-2,27;1,43;8,60;2,52;7,95;0,29;0,71;1,26;3,37;6,64;;13,15;1,13;;2.905.661.150,00
