,tickers
407,MTIG4
408,MTRE3
409,MTSA3
410,MTSA4
411,MULT3
412,MWET3
413,MWET4
414,MYPK3
415,NAFG3
416,NAFG4
417,NEMO3
418,NEMO5
419,NEMO6
420,NEOE3
421,NEXP3
422,NGRD3
423,NINJ3
424,NORD3
425,NRTQ3
426,NTCO3
427,NUTR3
428,ODER4
429,ODPV3
430,OFSA3
431,OGXP3
432,OIBR3
433,OIBR4
434,OMGE3
435,ONCO3
436,OPCT3
437,ORVR3
438,OSXB3
439,PARD3
440,PATI3
441,PATI4
442,PCAR3
443,PCAR4
444,PDGR3
445,PDTC3
446,PEAB3
447,PEAB4
448,PETR3
449,PETR4
450,PETZ3
451,PFRM3
452,PGMN3
453,PINE3
454,PINE4
455,PLAS3
456,PLPL3
457,PMAM3
458,PNVL3
459,PNVL4
460,POMO3
461,POMO4
462,PORT3
463,POSI3
464,POWE3
465,PPAR3
466,PPLA11
467,PRIO3
468,PRNR3
469,PSSA3
470,PTBL3
471,PTCA11
472,PTCA3
473,PTNT3
474,PTNT4
475,QGEP3
476,QUAL3
477,QUSW3
478,QVQP3B
479,RADL3
480,RAIL3
481,RAIZ4
482,RANI3
483,RANI4
484,RAPT3
485,RAPT4
486,RCSL3
487,RCSL4
488,RDNI3
489,RDOR3
490,RECV3
491,REDE3
492,RENT3
493,RLOG3
494,RNEW11
495,RNEW3
496,RNEW4
497,ROMI3
498,RPAD3
499,RPAD5
500,RPAD6
501,RPMG3
502,RRRP3
503,RSID3
504,RSUL3
505,RSUL4
506,SANB11
507,SANB3
508,SANB4
509,SAPR11
510,SAPR3
511,SAPR4
512,SBFG3
513,SBSP3
514,SCAR3
515,SEDU3
516,SEER3
517,SEQL3
518,SGPS3
519,SHOW3
520,SHUL3
521,SHUL4
522,SIMH3
523,SLCE3
524,SLED3
525,SLED4
526,SMFT3
527,SMLS3
528,SMTO3
529,SNSY3
530,SNSY5
531,SNSY6
532,SOJA3
533,SOMA3
534,SOND3
535,SOND5
536,SOND6
537,SPRI3
538,SPRI5
539,SPRI6
540,SPRT3B
541,SQIA3
542,STBP3
543,STKF3
544,STTR3
545,SULA11
546,SULA3
547,SULA4
548,SUZB3
549,SYNE3
550,TAEE11
551,TAEE3
552,TAEE4
553,TASA3
554,TASA4
555,TCNO3
556,TCNO4
557,TCSA3
558,TECN3
559,TEKA3
560,TEKA4
561,TELB3
562,TELB4
563,TEND3
564,TESA3
565,TFCO4
566,TGMA3
567,TIET11
568,TIET3
569,TIET4
570,TIMS3
571,TKNO3
572,TKNO4
573,TOTS3
574,TOYB3
575,TOYB4
576,TPIS3
577,TRAD3
578,TRIS3
579,TRPL3
580,TRPL4
581,TRPN3
582,TTEN3
583,TUPY3
584,TXRX3
585,TXRX4
586,UCAS3
587,UGPA3
588,UNIP3
589,UNIP5
590,UNIP6
591,USIM3
592,USIM5
593,USIM6
594,VALE3
595,VAMO3
596,VBBR3
597,VIIA3
598,VITT3
599,VIVA3
600,VIVR3
601,VIVT3
602,VIVT4
603,VLID3
604,VSPT3
605,VSPT4
606,VSTE3
607,VULC3
608,VVAR11
609,VVAR4
610,VVEO3
611,WEGE3
612,WEST3
613,WHRL3
614,WHRL4
615,WIZC3
616,WLMM3
617,WLMM4
618,YDUQ3
619,ZAMP3
