TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SOMA3;7,52;1,32;19,46;0,80;0,56;56,65;8,85;6,00;13,20;16,33;2,68;0,16;1,17;3,30;-0,82;2,16;4,10;2,87;4,24;0,70;0,30;0,48;36,69;31,09;126.186.677,63;9,61;0,39;-1,05;6.011.164.877,18
SOND5;50,00;12,19;7,50;2,21;1,33;40,78;17,50;10,01;4,29;2,76;-1,13;-0,58;0,75;3,60;-3,85;2,29;29,45;17,73;24,27;0,60;0,40;1,77;23,50;38,59;9.700,00;22,63;6,67;1,89;119.479.560,00
SOND6;45,00;13,54;6,75;1,99;1,20;40,78;17,50;10,01;3,86;2,76;-1,13;-0,58;0,68;3,24;-3,46;2,29;29,45;17,73;24,27;0,60;0,40;1,77;23,50;38,59;4.278,00;22,63;6,67;1,70;119.479.560,00
STBP3;8,98;9,14;20,89;3,58;1,77;44,75;30,07;19,38;13,47;12,94;-0,31;-0,08;4,05;50,24;-2,15;1,25;17,12;8,49;18,43;0,50;0,50;0,44;18,58;;35.961.917,78;2,52;0,43;16,31;7.794.816.728,38
SUZB3;49,00;3,60;2,84;1,55;0,48;48,04;44,12;47,37;3,05;5,65;2,53;1,29;1,35;2,84;-0,66;2,56;54,50;16,79;13,43;0,31;0,69;0,35;36,49;66,62;208.522.642,67;32,16;17,53;0,03;66.007.263.107,75
TAEE11;34,30;9,92;10,05;1,76;0,62;70,93;77,68;49,81;6,45;11,07;4,45;1,21;5,01;4,87;-0,77;3,03;17,46;6,21;10,59;0,36;0,64;0,12;19,43;12,49;74.377.049,33;19,42;3,39;-0,23;11.740.522.750,56
TAEE3;11,39;9,96;10,02;1,75;0,62;70,93;77,68;49,81;6,42;11,07;4,45;1,21;4,99;4,86;-0,77;3,03;17,46;6,21;10,59;0,36;0,64;0,12;19,43;12,49;2.606.082,63;6,47;1,13;-0,23;11.740.522.750,56
TAEE4;11,46;9,92;10,05;1,76;0,62;70,93;77,68;49,81;6,45;11,07;4,45;1,21;5,01;4,87;-0,77;3,03;17,46;6,21;10,59;0,36;0,64;0,12;19,43;12,49;4.810.919,04;6,47;1,13;-0,23;11.740.522.750,56
TASA3;15,11;9,18;6,24;1,82;0,94;40,56;21,22;14,27;4,20;4,69;0,53;0,23;0,89;4,49;-2,30;1,55;29,14;15,04;20,55;0,52;0,48;1,05;29,58;;258.092,26;8,36;2,44;-0,12;1.928.050.961,60
TASA4;15,22;9,16;6,26;1,82;0,94;40,56;21,22;14,27;4,21;4,69;0,53;0,23;0,89;4,50;-2,30;1,55;29,14;15,04;20,55;0,52;0,48;1,05;29,58;;8.160.283,15;8,36;2,44;-0,12;1.928.050.961,60
TECN3;3,24;2,49;4,84;0,64;0,37;55,06;16,52;14,03;4,11;4,00;-0,04;-0,01;0,68;0,74;-1,03;4,32;13,16;7,57;10,41;0,57;0,43;0,54;0,65;;681.551,44;5,18;0,68;0,12;233.990.509,50
TFCO4;12,93;1,44;111,21;33,44;20,78;58,01;22,39;17,90;88,92;16,26;0,42;0,16;19,90;42,48;-73,33;3,15;30,07;18,68;25,50;0,62;0,38;1,04;22,58;26,89;2.078.694,52;0,39;0,12;6,01;2.079.528.379,53
TGMA3;24,76;6,32;8,95;2,06;1,46;20,10;15,04;12,06;7,18;7,40;-0,29;-0,08;1,08;4,91;-2,82;2,62;23,01;16,31;17,84;0,71;0,29;1,35;4,80;12,17;6.517.814,96;12,13;2,79;0,14;1.650.072.875,00
TIMS3;14,43;5,92;17,16;1,37;0,62;50,20;15,48;8,83;9,78;10,61;0,41;0,06;1,51;-8,73;-0,75;0,70;7,99;3,63;11,38;0,45;0,55;0,41;5,81;10,40;95.233.524,07;10,46;0,84;-0,69;34.738.543.111,30
TKNO4;64,98;6,30;6,58;0,70;0,57;20,70;14,32;10,54;4,84;4,28;-0,75;-0,11;0,69;1,48;-1,22;3,65;10,69;8,70;12,50;0,81;0,19;0,83;19,94;;11.373,00;92,42;9,88;-0,11;198.928.713,45
TOTS3;27,85;1,58;35,34;3,91;1,57;70,45;17,30;12,00;24,52;23,80;-1,39;-0,22;4,24;6,45;-3,81;1,71;11,05;4,45;8,35;0,40;0,57;0,37;11,23;39,19;124.651.791,96;7,12;0,79;1,94;17.170.036.095,42
TRIS3;5,44;2,58;10,60;0,76;0,37;25,60;31,39;10,47;3,53;6,30;2,54;0,55;1,11;0,77;-1,44;2,83;7,17;3,50;10,90;0,49;0,49;0,33;11,47;21,81;8.095.927,78;7,02;0,50;0,64;994.671.477,54
TRPL3;31,90;3,37;8,77;1,19;0,61;60,07;64,90;43,32;5,85;7,26;2,08;0,42;3,80;8,17;-0,72;1,93;13,53;6,94;11,94;0,51;0,48;0,16;15,07;11,65;50.420,11;26,57;3,60;-0,54;17.831.650.076,64
TRPL4;24,12;4,39;6,73;0,91;0,47;60,07;64,90;43,32;4,49;7,26;2,08;0,42;2,91;6,27;-0,55;1,93;13,53;6,94;11,94;0,51;0,48;0,16;15,07;11,65;44.821.833,19;26,57;3,60;-0,41;17.831.650.076,64
TUPY3;25,95;4,53;8,38;1,22;0,39;17,79;6,67;4,10;5,15;8,15;3,03;0,72;0,34;1,22;-1,00;2,06;14,57;4,62;10,28;0,32;0,68;1,13;22,39;24,17;19.714.943,41;21,56;3,14;4,82;3.794.751.800,00
UCAS3;2,60;6,98;10,07;0,89;0,57;34,46;4,87;7,46;15,45;14,73;-1,32;-0,08;0,75;38,95;-0,84;1,05;8,85;5,70;5,06;0,64;0,36;0,76;9,24;;129.616,26;2,92;0,26;-0,18;171.824.546,40
UGPA3;18,32;1,91;14,89;1,69;0,60;5,48;2,33;1,01;6,48;9,31;2,70;0,70;0,15;2,51;-1,16;1,97;11,34;4,00;9,73;0,35;0,63;3,95;12,42;-2,72;80.862.950,15;10,85;1,23;-0,87;20.430.692.816,80
UNIP3;71,99;8,68;9,59;2,88;1,28;38,90;24,82;12,50;4,83;5,11;-0,02;-0,01;1,20;6,30;-2,15;2,00;30,02;13,34;25,49;0,44;0,55;1,07;19,21;20,95;874.507,26;25,12;7,54;-0,14;8.022.407.047,18
UNIP5;84,50;8,25;11,20;3,36;1,49;38,90;24,82;12,50;5,64;5,11;-0,02;-0,01;1,40;7,36;-2,52;2,00;30,02;13,34;25,49;0,44;0,55;1,07;19,21;20,95;23.112,70;25,12;7,54;-0,16;8.022.407.047,18
UNIP6;79,98;8,64;10,59;3,18;1,41;38,90;24,82;12,50;5,34;5,11;-0,02;-0,01;1,32;6,96;-2,38;2,00;30,02;13,34;25,49;0,44;0,55;1,07;19,21;20,95;15.403.251,19;25,12;7,54;-0,16;8.022.407.047,18
USIM3;7,00;4,21;24,29;0,38;0,22;10,73;0,96;1,21;30,66;33,55;3,31;0,04;0,29;0,63;-0,43;3,97;1,54;0,92;-0,49;0,60;0,34;0,76;24,78;9,47;1.132.263,19;18,92;0,29;-0,26;8.814.688.903,20
USIM5;6,84;4,73;23,78;0,37;0,22;10,73;0,96;1,21;30,01;33,55;3,31;0,04;0,29;0,61;-0,42;3,97;1,54;0,92;-0,49;0,60;0,34;0,76;24,78;9,47;57.391.398,89;18,92;0,29;-0,25;8.814.688.903,20
USIM6;16,31;2,02;55,80;0,86;0,51;10,73;0,96;1,21;70,42;33,55;3,31;0,04;0,68;1,44;-0,98;3,97;1,54;0,92;-0,49;0,60;0,34;0,76;24,78;9,47;3.262,00;18,92;0,29;-0,59;8.814.688.903,20
VALE3;66,71;5,94;5,42;1,65;0,70;39,09;30,44;27,58;4,91;5,36;0,68;0,23;1,49;32,14;-0,84;1,15;30,45;12,91;19,95;0,42;0,56;0,47;15,85;26,43;1.828.504.019,44;41,20;12,54;-0,12;308.334.784.909,40
VAMO3;10,70;2,60;17,43;3,03;0,64;43,44;33,78;11,48;5,92;11,05;4,58;2,34;2,00;4,98;-0,87;2,00;17,38;3,70;13,60;0,21;0,79;0,32;64,03;53,16;88.776.445,52;3,54;0,62;0,46;11.849.402.625,37
VBBR3;18,22;3,96;30,23;1,70;0,55;3,20;1,30;0,42;9,70;14,81;5,01;0,88;0,13;1,72;-1,13;2,64;5,61;1,82;7,32;0,32;0,68;4,35;16,50;-8,98;179.021.756,78;11,00;0,62;-0,41;21.738.900.000,00
VITT3;12,21;2,80;13,28;2,99;1,98;39,73;19,32;16,68;11,47;12,42;1,12;0,29;2,22;5,48;-4,88;2,55;22,53;14,90;16,97;0,66;0,34;0,89;;;3.006.062,15;3,93;0,89;2,49;1.682.257.498,32
VIVA3;27,33;1,35;17,03;3,54;2,15;69,78;21,01;18,83;15,26;16,71;0,03;0,01;3,21;5,65;-5,22;2,81;20,76;12,60;20,40;0,61;0,39;0,67;;;83.922.950,85;7,64;1,59;2,28;6.377.339.763,00
VIVT3;41,97;5,67;16,65;1,01;0,57;42,96;13,84;8,43;10,13;12,40;2,02;0,20;1,40;-25,76;-0,69;0,89;6,05;3,42;6,88;0,56;0,44;0,41;2,14;-2,01;82.785.445,70;41,34;2,50;-0,53;69.303.773.413,46
VLID3;19,05;3,48;9,23;1,17;0,58;39,32;18,84;8,63;4,23;5,21;1,28;0,35;0,80;2,38;-1,11;2,03;12,68;6,28;15,27;0,49;0,49;0,73;3,60;42,70;8.551.903,52;15,79;2,00;0,05;1.512.336.210,00
VULC3;20,65;2,98;9,32;2,63;1,83;39,23;18,67;19,83;9,90;10,27;0,20;0,05;1,85;3,65;-5,79;3,71;28,24;19,59;20,83;0,69;0,31;0,99;14,97;23,13;12.044.335,00;7,70;2,17;0,20;4.984.722.265,88
VVEO3;17,70;1,54;27,75;2,45;0,65;16,23;6,00;2,05;9,46;13,64;3,76;0,97;0,57;2,56;-1,45;1,83;8,82;2,33;9,96;0,26;0,74;1,14;;;13.480.448,89;7,36;0,65;-1,04;5.810.770.944,00
WEGE3;35,45;1,63;32,78;10,08;5,18;30,38;17,84;14,85;27,29;27,50;-0,40;-0,15;4,87;16,55;-17,09;1,82;30,74;15,81;24,36;0,51;0,47;1,06;25,71;31,96;226.959.547,85;3,54;1,09;1,53;149.844.252.528,60
WHRL3;4,85;3,99;20,04;2,95;0,81;15,89;7,10;3,25;9,18;8,06;-0,97;-0,31;0,65;15,64;-2,72;1,08;14,73;4,02;17,66;0,27;0,73;1,24;12,32;-4,20;18.739,38;1,59;0,23;-0,35;7.000.657.856,74
WHRL4;4,58;4,48;19,61;2,89;0,79;15,89;7,10;3,25;8,99;8,06;-0,97;-0,31;0,64;15,31;-2,66;1,08;14,73;4,02;17,66;0,27;0,73;1,24;12,32;-4,20;52.783,00;1,59;0,23;-0,34;7.000.657.856,74
WIZC3;6,16;7,20;9,41;2,38;0,42;58,20;36,98;10,49;2,67;2,72;0,12;0,10;0,99;-9,12;-0,55;0,84;25,32;4,42;21,69;0,17;0,59;0,42;12,37;-8,01;4.966.351,19;2,59;0,66;-0,57;988.227.002,76
WLMM3;25,17;3,14;8,08;1,40;0,97;12,56;7,05;5,11;5,86;7,22;-0,01;0,00;0,41;2,63;-2,54;2,48;17,35;12,01;13,80;0,69;0,31;2,35;32,16;;27.369,64;17,94;3,11;0,67;1.161.028.547,90
WLMM4;37,99;2,32;12,04;2,09;1,45;12,56;7,05;5,11;8,73;7,22;-0,01;0,00;0,62;3,92;-3,78;2,48;17,35;12,01;13,80;0,69;0,31;2,35;32,16;;101.981,93;17,94;3,11;0,99;1.161.028.547,90
