,DY,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
MERC3,,,,"0,51",,,,,,,,,
MERC4,"6,21","6,21","4,89","4,35","3,55","14,50","8,10",,,,"9,29","7,60","11,05"
MGEL3,,,,,,,,,,,,,
MGEL4,,,,,,,,,,,,,"6,69"
MGLU3,,,"0,21","0,48","1,01","0,47","1,76",,"1,06","2,24",,"0,24",
MILS3,"1,70","2,29","2,93",,,,,,,"2,55","1,97","0,53","1,22"
MLAS3,,"3,05",,,,,,,,,,,
MMAQ3,,,,,,,,,,,,,
MMAQ4,"503,40",,,,,,,,,,,,
MMXM3,,,,,,,,,,,"1,29","0,09",
MNDL3,,,,,,,,,,,,,"10,42"
MNPR3,,,,,,,,,,,,,
MOAR3,"1,29","2,65","11,16","2,65","7,20","10,10","6,01","4,69",,"5,07","14,14","5,26","6,83"
MODL11,,,"1,97",,,,,,,,,,
MODL3,"1,42","4,44","1,72",,,,,,,,,,
MODL4,,,"2,14",,,,,,,,,,
MOSI3,,,"0,01",,,,,,,,,,
MOVI3,"3,44","18,96","3,30","0,65","1,24","4,30",,,,,,,
MPLU3,,,,,,"8,36","9,48","9,40","4,79","5,85","5,17","5,12","1,70"
MRFG3,"12,46","25,83","12,93",,,,,,,,,,"0,16"
MRSA3B,"2,18",,"0,74","0,94","1,74",,,,,,,,
MRSA5B,"2,40","2,33","0,70",,,,,,,,,,
MRSA6B,"2,44","2,23","0,75",,,,,,,,,,
MRVE3,"1,71","5,21","5,33","1,95","5,16","8,33","4,25","3,23","8,93","4,01","3,11","3,15","1,68"
MSPA3,"0,12",,,,"0,80","10,73","12,02",,,,,,
MSPA4,"0,15",,,,,"11,75","14,81",,,,,,
MSRO3,,,,,,,,,,,,,
MTIG3,,,,,,,,,,,,"0,13",
MTIG4,,,,,"0,60",,,,,,,"0,67",
MTRE3,"18,13","9,02","6,75",,,,,,,,,,
MTSA3,"3,05",,,,,,,,"2,50",,,,
MTSA4,"5,02","5,70","5,32","2,37","3,41","4,39","6,81","5,43","6,55","7,60","5,73","4,98","3,26"
MULT3,"3,41","3,27","2,67","1,93","1,42","3,32","1,70","0,85","3,42","1,74","2,10","2,55","1,51"
MWET3,,,,,,,,,,,,,
MWET4,,,,,,,,,,,,,
MYPK3,"3,44","7,07","6,55","4,28","0,79","3,21","0,33","1,89","2,46","2,46","2,19","4,34","2,73"
NAFG3,,,,,,,"0,55",,,,,,
NAFG4,,,,,,"0,83",,,,"4,89","0,40","0,59","2,41"
NEMO3,,,,,,,,,,,,,
NEMO5,,,,,,,,,,,,,
NEMO6,,,,,,,,,,,,,
NEOE3,"6,38","5,17","3,24","2,32","2,32",,,,,,,,
NEXP3,,,,,,,,,,"45,41","5,27","4,71","3,24"
NGRD3,"1,19","1,00","0,47",,,,,,,,,,
NINJ3,,,,,,,,,,,,,
NORD3,,,,,,,,,,,,,
NRTQ3,,,,,,,,,,,,,
NTCO3,,"1,13",,,"1,01",,,,,,,,
NUTR3,,,,,,,,,,,,,
ODER4,"1,71",,,,,,"2,78",,,,,,
ODPV3,"3,02","3,47","3,74","3,48","2,14","2,04","3,30","2,80","4,54","4,00","3,49","5,88","2,18"
OFSA3,"2,81","2,78","1,86","1,15","0,45","0,73","0,46","0,80","0,98",,,,
OGXP3,,,,,,,,,,,,,
OIBR3,,,,,,,,,,,"22,59","16,69",
OIBR4,,,,,,,,,,,"22,72","18,38",
OMGE3,,,,,,"0,52",,,,,,,
ONCO3,,,,,,,,,,,,,
OPCT3,,,,,,,,,,,,,
ORVR3,,,,,,,,,,,,,
OSXB3,,,,,,,,,,,,,
PARD3,"1,26","3,03","1,48","1,30","1,69","1,74","4,31",,,,,,
PATI3,"1,93","8,32","3,37","0,62","3,63","1,33","1,45",,"1,62","1,71",,"2,19",
PATI4,"6,02",,"4,02","7,47","5,57","4,41",,,"9,53","7,25","5,70","5,92","7,13"
PCAR3,,"2,15","10,02","0,78","0,91",,,,,,,,
PCAR4,,,,,"1,01","2,13","0,40","0,03","3,24","1,02","0,98","0,92","1,06"
PDGR3,,,,,,,,,,,,"4,48","2,87"
PDTC3,,,,,,,,,,,,,
PEAB3,"1,42","3,43","19,67","56,35","8,27","8,43","7,56","3,89","18,93",,"9,54",,"6,35"
PEAB4,"0,71","2,65","17,50","64,23","8,73",,"8,52","3,97","19,74",,"10,50","8,01","6,98"
PETR3,"25,02","59,84","18,41","0,83","1,57","0,98",,,,"5,44","1,70","2,68","3,87"
PETR4,"27,61","68,48","19,87","0,00","3,12","3,97",,,,"9,96","4,57","2,69","4,14"
PETZ3,"0,40","0,63","0,26","0,17",,,,,,,,,
PFRM3,"4,74","4,72","4,59",,,,,,,"2,97","1,10","0,96","1,22"
PGMN3,"4,89",,,,,,,,,,,,
PINE3,"3,91",,,,,,,,,,,,
PINE4,"4,31",,,,,,,"10,64","16,28","13,54","2,64","4,73","7,45"
PLAS3,,,,,,,,,,,,"3,88",
PLPL3,"1,57","4,05","6,03",,,,,,,,,,
PMAM3,,,,,"0,30",,,,,,,,
PNVL3,"1,82","2,19","1,31","0,62","0,86","1,05","1,14","0,07","0,41","0,57","1,01","0,39","1,40"
PNVL4,,,,"0,73","1,26","1,63","1,45","0,22","0,88","0,82","1,30","0,72","1,77"
POMO3,"6,10","5,92","4,28","3,42","1,35","3,40","0,57","6,09","4,85","4,46",,"2,70","5,78"
POMO4,"4,76","5,02","3,51","3,24","1,33","2,72","0,46","4,78","4,46","4,54",,"2,48","5,25"
PORT3,"3,74","26,26","5,29","6,54",,,,,,,,,
POSI3,"6,35","3,62","3,13","0,63",,,"1,65",,"8,03","2,12","6,11",,"4,48"
POWE3,,,"0,50",,,,,,,,,,
PPAR3,"85,96",,,,,,,,,,,,
PPLA11,,,,,,,,,,,,,
PRIO3,,,,,,,,,,,,,
PRNR3,"2,24","4,44","0,77",,,,,,,,,,
PSSA3,"2,60","5,00","12,49","4,37","3,38","7,74","4,14","4,94","6,06","4,05","3,73","4,17","4,93"
PTBL3,"3,42","4,04","11,70","0,58","2,88","6,35","1,40","4,79","25,52","3,95","1,97","1,01",
PTCA11,,,,,,,,,,,,,
PTCA3,,,,,,,,,,,,,
PTNT3,"2,66","3,50","1,34",,,"2,14",,,,"3,12",,,
PTNT4,"3,62","5,10","3,23",,"3,57","4,76","7,14","6,98","6,57","7,57","8,92",,
QGEP3,"1,03",,,,,"16,43","1,40","2,81","2,57","2,15",,,"0,00"
QUAL3,"2,36","4,35","12,26","0,84","3,52","5,61","4,41","8,80","3,00",,,,
QUSW3,,,,,,,,,,,,,
QVQP3B,,,,,,,,,,,,,
RADL3,"0,99","1,07","0,91","1,64","0,57","1,11","0,67","0,97","1,53","0,89","0,47","0,52","0,34"
RAIL3,"0,30","0,10",,,,,,,,,,,
RAIZ4,"6,25","4,56","0,25",,,,,,,,,,
RANI3,"8,31","7,94","5,13","1,28","0,57",,"1,24",,"3,56","4,20","4,61","47,98","9,59"
RANI4,,,,"1,25","0,53",,"1,28",,,"4,19","4,68",,
RAPT3,"5,20","10,76","5,21","2,07","1,70",,,,,,,,
RAPT4,"4,07","10,48","6,01","1,50","1,42",,,,,,,,
RCSL3,,,,,,,,,,,,,
RCSL4,,,,,,,,,,,,,
RDNI3,"2,71","0,83","0,10","0,08",,,,"4,35","8,57","5,35","8,30","2,72","3,15"
RDOR3,"0,69","1,37","3,26",,,,,,,,,,
RECV3,"4,89","2,35",,,,,,,,,,,
REDE3,"9,30","9,67","14,95","0,83","3,24","0,18","0,62","2,50",,,,,
RENT3,"2,37","2,48","0,84","0,50","0,88","0,91","2,78","2,15","3,33","1,12","4,83","0,96","1,46"
RLOG3,,,,,,,,,"5,76",,,,
RNEW11,,,,,,,,,,,,,
RNEW3,,,,,,,,,,,,,
RNEW4,,,,,,,,,,,,,
ROMI3,"7,85","5,84","4,22","15,53","6,38","8,81","1,04","0,89","1,45","0,16",,,"4,90"
RPAD3,,"0,01",,"0,01",,,"0,02",,"0,58",,,,
RPAD5,"6,65","8,18","7,06","5,60","4,98","8,55","8,28","9,34","9,78","7,48","2,61",,
RPAD6,,"0,01",,"0,01",,,"0,01",,"0,85",,,,
RPMG3,,,,,,,,,,,,,
RRRP3,,,,,,,,,,,,,
RSID3,,,,,,,,,,,,"6,75","3,90"
RSUL3,,,,,,,,,,,,,
RSUL4,"4,62","2,82",,,,,,,,,,,
SANB11,"6,45","7,95","9,46","6,26","4,22","4,13","1,25",,,,,"2,59","5,59"
SANB3,"6,51","8,03","9,50","6,17","3,91","3,78","3,81","2,29","5,57","31,16","1.887,47","1.123,53","4,75"
SANB4,"6,38","7,86","9,31","6,26","4,65","4,50","5,86","4,86","7,49","38,15","2.076,22","1.426,02","5,98"
SAPR11,"8,09","8,35","5,69","3,88","4,24","5,44","2,68",,,,,,
SAPR3,"7,93","8,05","5,32","3,06","4,58","3,69","4,89",,"11,82","5,89",,,
SAPR4,"8,21","8,42","5,75","4,04","4,16","6,36","5,66","5,86","15,52","8,81","5,88","3,47","6,60"
SBFG3,"1,97","0,92",,,,,,,,,,,
SBSP3,"2,20","1,65","0,99","3,10","1,91",,,,,,,,
SCAR3,,"0,79","0,89","0,14","0,78",,"2,64","0,80","3,31","2,58","2,76","2,26",
SEDU3,,,,,,,,,"0,33",,,,
SEER3,,,"3,15","1,31","8,94","2,73","0,88","0,99","0,61","0,99",,,
SEQL3,,,,,,,,,,,,,
SGPS3,,,,,,,,,,,,,
SHOW3,,,,,"0,95","4,24","1,27","0,52",,,,"2,63",
SHUL3,"0,21",,,,,,,,"1,93",,,,
SHUL4,"3,42","4,60","2,22","2,29","2,62","4,46","2,32","3,10","6,56","5,86","1,14","2,12","1,89"
SIMH3,"1,65","9,67","3,83","0,69","0,58",,,,,,,,
SLCE3,"7,37","5,91","2,36","3,59","3,82","5,10","8,31","4,14","1,70","2,75","0,76","3,20","1,03"
SLED3,,,,,,"20,00","3,60",,,"7,39","4,41",,
SLED4,,,,,,"20,00","4,25",,"17,98","13,75","3,40","3,54","4,20"
SMFT3,,,,,,,,,,,,,
SMLS3,,,"17,98","5,41","9,42","8,88",,,,,,,
SMTO3,"4,30","4,27","6,77","1,98","2,77","2,82","1,45","2,52","1,31","0,99","0,93","1,15","1,60"
SNSY3,,,,,,,,,,,,,
SNSY5,,,,,,,,,,,,,
SNSY6,,,,,,,,,,,,,
SOJA3,"0,59","1,05",,,,,,,,,,,
SOMA3,"1,32","0,89",,,,,,,,,,,
SOND3,"12,04",,,,,,,,,,,,
SOND5,"12,19","21,30","23,65","1,85",,,,,"10,34","45,66","156,17","4,19","4,49"
SOND6,"13,54",,,"2,30","15,91","7,97",,,"10,39","48,86","159,64",,"4,99"
SPRI3,,,,,,,,,,,"20,08","22,20",
SPRI5,,,,,,,,,,"36,21","18,70","22,20","91,44"
SPRI6,,,,,,,,,,,"21,68","28,73",
SPRT3B,,,,,,,,,,,,,
SQIA3,"0,20","0,44","0,12",,"0,23","0,74","0,35","1,55","6,77","1,79",,,
STBP3,"9,14","8,44","4,04","0,33","0,05","0,07",,,,,,,
STKF3,,,,,,,,,,,,,
STTR3,,,,,,,,,,,,,
SULA11,"0,27","0,27","1,39","4,16","1,07","2,02","3,23","2,96","2,71","3,02","4,48","3,62","9,36"
SULA3,"0,27","0,27","1,35","3,47","0,86","1,60","3,37",,,,,,
SULA4,"0,26","0,26","1,41","4,61","1,20","2,45","3,24",,,,,,
SUZB3,"3,60","6,49",,,"1,12","0,50","2,68",,,,,,
SYNE3,,"12,63","114,83","6,81",,"23,05","64,92","0,94","3,27","3,45","4,18","1,31","1,59"
TAEE11,"9,92","14,00","12,38","9,63","6,06","11,81","8,27","13,04","11,26","15,57","12,11","7,84",
TAEE3,"9,96","13,91","12,39","9,56","6,13","10,97","8,23",,,,,,
TAEE4,"9,92","13,89","12,33","9,57","6,00","12,22","8,66",,,,,,
TASA3,"9,18","12,26",,,,,,,,,"1,02","4,14","8,63"
TASA4,"9,16","12,17",,,,,,,,,"1,19","4,64","9,04"
TCNO3,,,,,,,,,"7,74",,,"4,62",
TCNO4,,,,,,,,,"3,89",,,"5,00",
TCSA3,,,,,,,,"7,47","7,61","12,16",,"3,73","2,55"
TECN3,"2,49","3,82",,,,,,"2,70","8,29","4,75","0,99","1,79",
TEKA3,,,,,,,,,,,,,
TEKA4,,,,,,,,,,,,,
TELB3,,,,,,,,,,,,,
TELB4,,,,,,,,,,,,,
TEND3,,,"1,06","1,63","1,98","1,59",,,,,,,
TESA3,,,,,,,,,,,,,
TFCO4,"1,44","1,72","0,77",,,,,,,,,,
TGMA3,"6,32","5,79","5,03","1,26","4,17","4,16","2,33",,"1,61","1,62","5,06","2,77","3,90"
TIET11,,,"0,16","6,37","5,16","7,78","6,47","15,45",,,,,
TIET3,,,"0,11","6,29","3,85","7,65","6,39","14,46",,,,,
TIET4,,,"0,11","6,33","5,58","7,72","6,39","16,08",,,,,
TIMS3,"5,92","4,66","3,29","3,75","1,97",,,,,,,,
TKNO3,"1,86",,,,,,,,,,,,
TKNO4,"6,30","10,06","5,19","4,24",,,,,,,,,
TOTS3,"1,58","1,12","1,08","1,05","0,65","1,15","1,18","3,84","3,67","2,75","1,97","1,62","6,40"
TOYB3,,,,,,,,,,,,,
TOYB4,,,,,,,,,,,,,
TPIS3,,"2,08","1,95",,,"12,47",,"7,17","4,94",,"3,75","2,68","2,07"
TRAD3,,"0,01",,,,,,,,,,,
TRIS3,"2,58","6,39","4,07","1,75","0,89","4,09","3,18","4,32","4,62","4,10","1,24",,"3,99"
TRPL3,"3,37","3,67","11,73","5,93","5,49","18,24","5,17","2,55","5,28",,,"6,28","10,94"
TRPL4,"4,39","4,62","14,76","6,26","6,69","18,17","4,54","2,32","4,96","3,41","4,87","8,47","10,19"
TRPN3,,,,,"267,89","2,48","3,81","0,71","3,51","19,29","6,02","2,31","18,76"
TTEN3,"0,85","0,16",,,,,,,,,,,
TUPY3,"4,53","1,65","2,17",,"4,45","4,30","3,80","3,43","3,97","1,96","1,18","2,99","4,07"
TXRX3,,,,,,,,,,,,,
TXRX4,,,,,,,,,,,,,
UCAS3,"6,98","7,15","5,08","6,83","1,50",,,,"6,60","6,33","10,33",,
UGPA3,"1,91","4,62","4,40","1,01","3,53","2,74","2,29","2,34","2,50","2,76","2,36","2,20","2,94"
UNIP3,"8,68","15,48","13,61","2,27","0,77","6,57","27,29","3,85","3,82","3,32","1,15","0,41",
UNIP5,"8,25","14,90","15,01","3,08","0,84","7,24","31,43","5,75","8,36","7,80","6,55","0,40",
UNIP6,"8,64","15,86","14,96","2,39","0,85","7,35","31,81","4,63","5,71","4,13","1,43","0,53",
USIM3,"4,21","7,72","8,93","0,25","1,47","0,38",,,"0,74",,,"0,58","0,80"
USIM5,"4,73","8,79","9,40","0,30","1,68","0,52",,,"2,11",,,"0,68","1,48"
USIM6,"2,02","4,67","7,50","0,37","1,69",,,,,,,"0,72","1,49"
VALE3,"5,94","8,53","18,79","2,75","2,65","3,86","3,29","0,65","7,49","8,63","5,06","5,35","7,31"
VAMO3,"2,60","2,07","1,64",,,,,,,,,,
VBBR3,"3,96","5,51","9,51","4,25","8,91","5,71",,,,,,,
VIIA3,,,,,,"0,27","0,34","0,07","11,90",,"16,30",,
VITT3,"2,80","2,81","0,68",,,,,,,,,,
VIVA3,"1,35","0,24","1,29","0,36",,,,,,,,,
VIVR3,,,,,,,,,,,,,
VIVT3,"5,67","7,97","7,19","7,34","6,86","9,07","5,84","5,28","10,27","6,84","11,76","5,88","3,93"
VIVT4,,,,,"6,38","8,91","5,44","4,79","10,74","6,41","11,54","5,76","1,77"
VLID3,"3,48","3,16",,,"4,12","5,41","1,98","3,88","2,42","3,17","3,62","3,92","3,83"
VSPT3,,,,,,,,,,,,,
VSPT4,,,,,,,,,,,,,
VSTE3,"0,75",,,,"2,80","3,49",,,,"3,02","0,97","1,84",
VULC3,"2,98","2,96","3,83",,,,,,,,,,"5,35"
VVAR11,,,,,,,"0,33","0,07","15,83",,,,
VVAR4,,,,,,,"0,32","0,07","16,43",,,,
VVEO3,"1,54","2,69","1,32",,,,,,,,,,
WEGE3,"1,63","1,34","1,86","0,57","0,98","1,98","1,48","2,43","3,03","2,36","2,21","2,00","3,03"
WEST3,,,,,,,,,,,,,
WHRL3,"3,99","3,91","8,75","16,57","5,24","3,15","10,88",,"4,84","17,95","9,01","6,51","5,38"
WHRL4,"4,48","4,12","8,07","16,35","6,62","2,92","11,15",,"5,89","19,99","9,27","6,85","5,13"
WIZC3,"7,20","8,39","7,65","8,32","7,87","7,30","6,04","6,51",,,,,
WLMM3,"3,14","5,66","1,68","1,45","1,46",,,,,,,,
WLMM4,"2,32","3,32","1,58","1,11","1,57",,,,,,,,
YDUQ3,,"1,24","2,28","1,55","1,07","6,98","0,86","8,12","2,36","0,83","1,31","0,49","2,60"
ZAMP3,,,,"0,47","0,50","0,23",,,,,,,
