,TICKERS,PRECO,MIN_MES,MAX_MES,VAL_MES,MIN_52S,MAX_52S,VAL_12M, VPA,DY, LPA,P/L,P/L_IDEAL,UP/DOWNSIDE,ROE,P/VP,EV/EBIT,LIQ.CORR,MARG.LIQ,DIV.LIQ/PL,SEGMENTO,IBOVESPA,SMALLCAP,DIVIDENDOS
449,PETR4,33.84,32.29,33.84,3.71,17.38,33.84,53.19,28.42,27.44,11.99,2.82,2.3703085904920767,-0.16016548463356972,42.19,1.19,2.92,0.9,26.89,0.59,Exploracao Refino e Distribuicao,IBOV,,
450,PETZ3,5.72,5.44,5.86,-0.52,5.11,11.08,-42.57,4.02,0.38,0.09,63.98,44.666666666666664,-0.2972027972027973,2.21,1.42,18.16,2.05,1.33,-0.03,Produtos Diversos,,,
451,PFRM3,3.97,3.67,3.99,-0.5,3.0,4.45,6.43,9.69,4.35,0.25,16.04,38.76,1.4408060453400502,2.56,0.41,6.31,1.4,0.37,0.72,Medicamentos e Outros Produtos,,,
452,PGMN3,3.86,3.81,3.97,-0.26,2.61,6.1,-18.05,4.84,4.83,-0.38,-10.05,-12.736842105263158,0.2538860103626943,-7.92,0.8,5.38,1.47,-1.68,0.61,Medicamentos e Outros Produtos,,,
453,PINE3,4.15,4.15,4.15,0.0,1.41,4.15,194.33,5.03,3.91,0.53,7.78,9.49056603773585,0.21204819277108422,10.6,0.82,6.93,0.98,5.85,0.0,Bancos,,,
454,PINE4,3.9,3.68,3.94,1.3,1.37,4.36,158.28,5.03,4.18,0.53,7.27,9.49056603773585,0.2897435897435898,10.6,0.77,6.93,0.98,5.85,0.0,Bancos,,,
455,PLAS3,8.0,8.0,8.0,0.0,7.2,11.99,-12.57,-26.29,0.0,1.75,4.58,-15.022857142857143,-4.28625,-6.64,-0.3,7.4,0.43,2.39,0.0,Automoveis e Motocicletas,,,
456,PLPL3,9.84,9.89,10.96,-6.79,3.31,11.68,192.6,2.55,1.62,0.99,9.98,2.5757575757575757,-0.7408536585365854,38.78,3.87,9.42,3.27,11.8,0.44,Incorporacoes,,,
457,PMAM3,5.0,4.93,5.2,-3.85,3.3,6.52,-16.67,-83.54,0.0,-71.44,-0.07,1.1693729003359463,-17.708000000000002,-85.52,-0.06,-2.32,0.19,-230.24,0.0,Artefatos de Cobre,,,
458,PNVL3,12.65,11.99,12.82,1.04,8.93,13.54,7.66,7.49,1.77,0.55,22.86,13.618181818181817,-0.4079051383399209,7.34,1.68,18.12,1.44,1.96,0.72,Medicamentos e Outros Produtos,,,
459,PNVL4,18.62,18.62,19.13,0.0,0.0,0.0,0.0,7.49,0.0,0.55,33.89,13.618181818181817,-0.5977443609022557,7.34,2.49,18.12,1.44,1.96,0.72,Medicamentos e Outros Produtos,,,
460,POMO3,4.91,4.91,5.03,-1.8,1.79,5.06,132.7,3.43,6.24,0.74,6.63,4.635135135135135,-0.3014256619144603,21.41,1.42,10.79,2.13,11.01,0.33,Material Rodoviario,,,
461,POMO4,6.21,6.21,6.47,-2.51,2.15,6.47,148.4,3.43,4.92,0.74,8.41,4.635135135135135,-0.4476650563607085,21.41,1.8,10.79,2.13,11.01,0.33,Material Rodoviario,,SMLL,
462,PORT3,13.19,12.59,13.25,3.05,8.47,13.9,50.57,5.18,3.55,0.83,15.85,6.240963855421687,-0.6072782410917361,16.08,2.55,12.86,1.02,15.48,1.08,Servi̤os de Apoio e Armazenagem,,,
463,POSI3,7.98,7.8,8.41,-3.74,5.92,12.45,-34.21,9.8,6.49,1.5,5.28,6.533333333333334,0.22807017543859653,15.32,0.81,4.1,2.07,5.62,0.64,Computadores e Equipamentos,,SMLL,
464,POWE3,10.9,10.8,11.15,0.0,0.0,0.0,0.0,11.02,0.0,0.46,23.92,23.956521739130434,0.011009174311926495,4.13,0.99,10.6,1.13,2.59,-0.39,Energia Eletrica,,,
465,PPAR3,14.6,14.6,14.6,0.0,0.0,0.0,0.0,297.53,85.96,17.52,0.83,16.982305936073057,19.37876712328767,5.89,0.05,-1.61,182.58,0.0,-0.13,Outros,,,
466,PPLA11,3.85,3.37,3.85,2.39,3.37,5.09,-14.63,0.0,0.0,0.0,2167.29,0.0,-1.0,55.56,1204.05,2167.29,0.0,0.0,0.0,Gestao Recursos e Investimentos,,,
