,DY,P/L,PEG RATIO,P/VP,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP GIRO,P/ATIVO CIRC.LIQ,DÍVIDA LÍQUIDA/PL,DÍVIDA LÍQUIDA/EBITDA,DÍVIDA LÍQUIDA/EBIT,PL/ATIVOS,PASSIVOS/ATIVOS,LIQUIDEZ CORRENTE,M.BRUTA,M.EBITDA,M.EBIT,M.LIQ,ROE,ROA,ROIC,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS
BALM3,"2,16","122,50","-1,27","0,69","4,38","3,77","3,02","5,47","14,53","0,40","0,08","0,54","0,86","-1,31","-0,19","-1,20","-1,50","0,57","0,42","2,92","58,39","12,26","9,82","0,44","0,56","0,32","6,55","0,74","8,44","3,46"
BALM4,"2,10","126,05","-1,30","0,71","4,50","3,77","3,02","5,62","14,53","0,41","0,08","0,55","0,88","-1,35","-0,19","-1,20","-1,50","0,57","0,42","2,92","58,39","12,26","9,82","0,44","0,56","0,32","6,55","0,74","8,44","3,46"
BAUH4,"1,68","-98,21","0,68","3,91","28,37","44,59","27,02","46,81","18,39","2,32","-0,73","1,79","30,71","-4,23","-0,19","-1,35","-2,23","0,59","0,41","1,20","21,55","6,30","3,82","-1,82","-3,98","-2,36","-3,45","1,30","3,33",
BAZA3,"7,09","3,37","0,08","0,77",,"2,06",,"2,19","97,45","0,10","22,28","1,16","2,55","-0,11",,,,"0,13","0,87",,"29,18",,"53,10","34,41","22,87","3,06",,"0,09","17,64","80,88"
BBAS3,"9,66","4,13","0,10","0,83",,"3,26",,"3,16","56,75","0,06","11,36","0,51","2,24","-0,07",,,,"0,08","0,92","12,76","32,03",,"16,16","12,35","20,01","1,57",,"0,13","9,97","25,08"
BBDC3,"7,13","8,40","-0,25","0,82",,"11,28",,"10,00","15,64","0,07","1,53","0,62","0,92","-0,08",,,,"0,09","0,91","7,16","31,88",,"6,19","7,37","9,78","0,87",,"0,12","8,37","-0,96"
BBDC4,"7,00","9,40","-0,28","0,92",,"11,28",,"11,19","15,64","0,08","1,53","0,69","1,03","-0,09",,,,"0,09","0,91","7,16","31,88",,"6,19","7,37","9,78","0,87",,"0,12","8,37","-0,96"
BBML3,,"48.754,69","-384,83","149.535,60","2.064,51","3.586,40","2.070,09","3.576,72","0,03","154,10","0,08","96,25","-869,12","-250,59","404,48","5,58","9,67","0,00","1,00","0,68","6,84","4,66","2,69","0,20","306,71","0,32","5,37","1,60","41,29","1,17"
BBSE3,"11,21","8,66","0,19","6,95",,"7,54",,"7,56","4,47","3,66","3,59",,"-519,38","-5,38",,,,"0,53","0,47","0,98",,,,,"80,32","42,31",,"0,00",,"12,15"
BDLL3,,"0,35","0,00","-0,14","-0,83","-5,63","-7,41","-0,63","-88,93","0,03","34,54","0,51","-2,61","-0,06",,"-6,66","-5,06","-0,23","1,23","0,98","-48,56","-61,68","-81,27","144,73","-38,84","8,78","-337,02","0,06","-27,58",
BDLL4,,"0,30","0,00","-0,12","-0,69","-5,63","-7,41","-0,53","-88,93","0,03","34,54","0,43","-2,19","-0,05",,"-6,66","-5,06","-0,23","1,23","0,98","-48,56","-61,68","-81,27","144,73","-38,84","8,78","-337,02","0,06","-27,58",
BEEF11,,"6,26","-0,12","5,36","0,83","6,08","4,97","1,01","0,67","0,11","0,58","0,08","0,56","-0,27","18,78","2,90","3,54","0,02","0,95","1,50","19,56","9,18","7,51","1,21","85,67","1,77","14,51","1,46","20,68",
BEEF3,"6,31","15,10","-0,28","12,94","2,00","6,08","4,97","2,44","0,67","0,27","0,58","0,18","1,36","-0,65","18,78","2,90","3,54","0,02","0,95","1,50","19,56","9,18","7,51","1,21","85,67","1,77","14,51","1,46","20,68",
BEES3,"7,26","8,30","-1,67","1,34",,"6,37",,"6,05","6,43","0,07","1,04","0,53","0,71","-0,08",,,,"0,05","0,95",,"26,39",,"8,82","6,42","16,14","0,85",,"0,13","12,53","14,38"
BEES4,"6,29","9,58","-1,93","1,55",,"6,37",,"6,98","6,43","0,08","1,04","0,62","0,82","-0,09",,,,"0,05","0,95",,"26,39",,"8,82","6,42","16,14","0,85",,"0,13","12,53","14,38"
BFRE11,,"0,00","0,00","0,00",,,,"0,00","297.220,36","0,00","27.456,07","0,00","0,00","0,00",,,,"0,90","0,09",,"30,45",,"173,79","145,79","9,24","8,32",,"0,06",,"12,75"
BFRE12,,"0,00","0,00","0,00",,,,"0,00","297.220,36","0,00","27.456,07","0,00","0,00","0,00",,,,"0,90","0,09",,"30,45",,"173,79","145,79","9,24","8,32",,"0,06",,"12,75"
BGIP3,"8,71","7,06","0,29","0,73",,"6,18",,"6,67","35,35","0,05","3,65","0,37","-0,34","-0,10",,,,"0,07","0,93","0,76","35,65",,"5,57","5,27","10,32","0,71",,"0,14","8,79","-6,36"
BGIP4,"10,66","6,35","0,26","0,65",,"6,18",,"6,00","35,35","0,05","3,65","0,33","-0,30","-0,09",,,,"0,07","0,93","0,76","35,65",,"5,57","5,27","10,32","0,71",,"0,14","8,79","-6,36"
BIDI11,,"-238,07","0,13","1,08",,"-91,21",,"-91,21","9,67","0,23","-0,04","12,42",,"-0,24",,,,"0,22","0,78",,"50,04",,"-13,62","-5,22","-0,45","-0,10",,"0,02","5,80",
BIDI3,,"-233,49","0,12","1,06",,"-91,21",,"-89,46","3,22","0,23","-0,01","12,19",,"-0,24",,,,"0,22","0,78",,"50,04",,"-13,62","-5,22","-0,45","-0,10",,"0,02","5,80",
BIDI4,,"-234,18","0,12","1,06",,"-91,21",,"-89,72","3,22","0,23","-0,01","12,22",,"-0,24",,,,"0,22","0,78",,"50,04",,"-13,62","-5,22","-0,45","-0,10",,"0,02","5,80",
BIOM3,,"-4,82","1,19","3,53","-6,37","-7,24","-8,53","-5,41","1,49","1,25","-1,09","3,49","9,14","-1,97","0,91","-1,64","-1,39","0,35","0,65","1,59","15,66","-54,88","-64,63","-72,57","-73,28","-25,89","-28,34","0,36","299,61",
