,DY,P/L,PEG RATIO,P/VP,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP GIRO,P/ATIVO CIRC.LIQ,DÍVIDA LÍQUIDA/PL,DÍVIDA LÍQUIDA/EBITDA,DÍVIDA LÍQUIDA/EBIT,PL/ATIVOS,PASSIVOS/ATIVOS,LIQUIDEZ CORRENTE,M.BRUTA,M.EBITDA,M.EBIT,M.LIQ,ROE,ROA,ROIC,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS
VVEO3,"1,54","27,75","-1,04","2,45","6,92","13,64","9,98","9,46","7,36","0,65","0,65","0,57","2,56","-1,45","0,97","2,75","3,76","0,26","0,74","1,83","16,23","8,21","6,00","2,05","8,82","2,33","9,96","1,14",,
WEGE3,"1,63","32,78","1,53","10,08","24,67","27,50","24,86","27,29","3,54","5,18","1,09","4,87","16,55","-17,09","-0,15","-0,36","-0,40","0,51","0,47","1,82","30,38","19,74","17,84","14,85","30,74","15,81","24,36","1,06","25,71","31,96"
WEST3,,"-3,23","-0,11","0,66",,"-0,91",,"-2,37","2,59","0,48","-0,53","0,85","1,14","-1,25","-0,43",,"1,55","0,73","0,27","3,16","42,46",,"-35,85","-26,27","-20,29","-14,88","-25,86","0,57","367,94",
WHRL3,"3,99","20,04","-0,35","2,95","7,20","8,06","6,32","9,18","1,59","0,81","0,23","0,65","15,64","-2,72","-0,31","-0,76","-0,97","0,27","0,73","1,08","15,89","9,05","7,10","3,25","14,73","4,02","17,66","1,24","12,32","-4,20"
WHRL4,"4,48","19,61","-0,34","2,89","7,05","8,06","6,32","8,99","1,59","0,79","0,23","0,64","15,31","-2,66","-0,31","-0,76","-0,97","0,27","0,73","1,08","15,89","9,05","7,10","3,25","14,73","4,02","17,66","1,24","12,32","-4,20"
WIZC3,"7,20","9,41","-0,57","2,38","2,60","2,72","2,65","2,67","2,59","0,42","0,66","0,99","-9,12","-0,55","0,10","0,11","0,12","0,17","0,59","0,84","58,20","38,01","36,98","10,49","25,32","4,42","21,69","0,42","12,37","-8,01"
WLMM3,"3,14","8,08","0,67","1,40","5,71","7,22","7,03","5,86","17,94","0,97","3,11","0,41","2,63","-2,54","0,00","-0,01","-0,01","0,69","0,31","2,48","12,56","7,24","7,05","5,11","17,35","12,01","13,80","2,35","32,16",
WLMM4,"2,32","12,04","0,99","2,09","8,51","7,22","7,03","8,73","17,94","1,45","3,11","0,62","3,92","-3,78","0,00","-0,01","-0,01","0,69","0,31","2,48","12,56","7,24","7,05","5,11","17,35","12,01","13,80","2,35","32,16",
YDUQ3,,"56,84","0,06","2,00","4,08","13,34","6,90","7,88","10,16","0,64","0,36","1,29","6,79","-0,88","1,36","2,78","5,37","0,32","0,68","1,56","58,53","31,58","16,35","2,27","3,51","1,13","8,82","0,50","6,20","-23,65"
ZAMP3,,"-13,39","-0,30","1,09","4,42","25,49","6,42","17,56","4,97","0,37","-0,40","0,39","11,19","-0,48","0,54","2,18","8,64","0,34","0,66","1,18","64,96","8,93","2,25","-2,95","-8,15","-2,77","2,35","0,94","15,36",
